id,nome,eta,nazione,ruolo,ruolo_detail,squadra,valore,instagram_followers,facebook_followers,twitter_followers
342229,Kylian Mbappé,19,Francia,Attaccante,Ala destra,FC Paris Saint-Germain,180000000,24019703,1639467,2252200
68290,Neymar,26,Brasile,Attaccante,Ala sinistra,FC Paris Saint-Germain,180000000,107716768,60699722,41636656
28003,Lionel Messi,31,Argentina,Attaccante,Ala destra,FC Barcellona,180000000,103764191,89898268,
148455,Mohamed Salah,26,Egitto,Attaccante,Ala destra,FC Liverpool,150000000,21661975,11016135,7457524
132098,Harry Kane,25,Inghilterra,Attaccante,Punta centrale,Tottenham Hotspur,150000000,7389999,1660408,2453183
125781,Antoine Griezmann,27,Francia,Attaccante,Punta centrale,Atlético de Madrid,150000000,22858764,7657796,5830632
88755,Kevin De Bruyne,27,Belgio,Centrocampista,Trequartista,Manchester City,150000000,7413980,3311435,1634410
80444,Philippe Coutinho,26,Brasile,Centrocampista,Trequartista,FC Barcellona,150000000,19320944,2349602,1834436
50202,Eden Hazard,27,Belgio,Attaccante,Ala sinistra,Chelsea FC,150000000,17814105,9276779,5803555
206050,Paulo Dybala,25,Argentina,Attaccante,Seconda punta,Juventus FC,110000000,25153030,3449025,1551710
207929,Dele Alli,22,Inghilterra,Centrocampista,Trequartista,Tottenham Hotspur,100000000,5924166,621060,760328
96341,Romelu Lukaku,25,Belgio,Attaccante,Punta centrale,Manchester United,100000000,4030109,2824260,1535233
8198,Cristiano Ronaldo,33,Portogallo,Attaccante,Ala sinistra,Juventus FC,100000000,148673079,122537332,75481157
68863,Mauro Icardi,25,Argentina,Attaccante,Punta centrale,FC Internazionale,95000000,4452085,566184,1344271
296622,Marco Asensio,22,Spagna,Attaccante,Ala sinistra,Real Madrid CF,90000000,10631793,2069304,1236129
266302,Sergej Milinkovic-Savic,23,Serbia,Centrocampista,Centrale,SS Lazio,90000000,322551,,
192565,Leroy Sané,22,Germania,Attaccante,Ala sinistra,Manchester City,90000000,3302069,554243,1200483
148928,Saúl Níguez,24,Spagna,Centrocampista,Centrale,Atlético de Madrid,90000000,1047537,480545,391081
134425,Raheem Sterling,24,Inghilterra,Attaccante,Ala destra,Manchester City,90000000,4273939,2210537,1519236
