as_google_18,as_google_all,france_google_18,france_google_all
13800,40100,14000,19500
35200,73600,18200,23700
136000,224000,14400,21900
8520,17900,981,1080
2760,4690,326,799
21900,50700,14600,21200
1150,3180,247,761
4130,8040,331,655
5840,25500,15500,28000
8250,11300,275,679
914,1600,107,217
2870,5010,332,499
41200,68000,15600,20400
4470,13500,131,397
9350,27300,1350,2350
334,892,51,132
3250,5380,175,889
534,1600,30,109
1870,4340,1920,3260
14300,24100,18800,26500
57400,84800,371,825
2510,7630,14800,25500
1710,2850,301,172
1740,2460,16000,18400
1260,5570,16300,24900
3370,12700,590,1300
1130,1690,178,322
8360,21700,80,247
6960,19400,90,448
2560,6750,78,324
781,1240,68,271
6160,14600,118,465
3610,7750,173,797
8440,30300,446,801
1690,7290,212,791
875,2390,802,2000
880,1080,161,553
482,582,255,261
3160,10900,912,2130
902,3900,345,1740
3750,11600,122,356
3690,9910,98,410
5770,13500,202,721
25200,60400,982,2460
21800,42800,15000,25000
1300,2560,106,303
3700,8210,1350,1780
3040,11500,286,344
381,1630,55,89
1400,3310,177,314
622,2120,2290,4290
427,1310,102,225
5600,18500,317,613
479,1470,2070,4780
727,1890,83,729
884,2390,76,468
3710,3030,694,1960
521,968,517,902
367,604,103,145
2230,2160,97,1600
12900,21300,124,324
10200,34200,88,518
5820,11400,101,146
457,807,104,266
1020,1230,141,161
448,2320,520,1340
7200,16200,14500,22500
28000,41800,272,824
19,207,339,573
750,758,94,108
766,1520,296,1270
1080,1750,133,362
4420,6950,57,160
2110,2460,81,267
15600,19800,60,470
768,1320,95,466
3300,9000,137,594
4030,5010,327,586
167,264,26,60
2510,2580,102,66
2380,6810,510,741
5410,13400,148,153
433,947,241,897
261,420,66,64
1640,3550,38,72
1180,3460,120,497
444,621,5050,8200
9750,4810,6070,6430
827,1900,2970,6890
412,418,45,110
1150,1770,10,26
452,1840,72,193
479,1020,68,83
509,643,20,65
4860,5980,52,393
714,2110,103,557
1960,3320,103,356
388,568,30,46
165,263,9,29
324,296,44,74
1860,4550,243,576
722,2600,41,167
762,1140,1840,4680
477,724,22,192
512,816,425,1390
127,275,42,46
444,497,34,63
449,931,410,1270
388,536,338,772
2510,4770,36,127
806,1120,146,508
502,1320,241,1320
1880,3000,1350,2320
771,1060,54,162
2400,5550,3820,5820
38700,67600,912,2200
1590,3100,17,32
463,561,4850,6580
692,2910,38,39
1180,3240,35,40
367,313,26,36
11700,20100,36,61
578,1830,62,186
279,484,24,54
4040,4750,70,198
402,618,28,87
1350,1200,40,82
190,308,4,8
172,941,13,145
1680,3500,98,189
907,1630,88,151
1910,3500,27,115
1760,3710,132,961
530,479,24,70
465,716,40,122
471,362,20,46
216,467,35,204
541,600,35,82
500,1030,84,266
11000,20700,36,96
477,1060,58,481
289,337,21,55
1910,5720,65,243
1240,2720,31,78
626,693,55,212
180,376,26,101
755,1530,52,350
603,547,58,188
473,457,1420,3070
1900,4020,33,143
514,818,51,163
551,2700,301,1290
14000,3240,183,420
264,699,50,413
8880,25400,254,580
14300,32800,14500,26500
2550,6630,149,138
206,177,2220,3080
165,265,102,207
169,155,20,270
1520,11900,25,28
1450,3100,4,7
625,290,26,37
42,111,7,77
226,276,78,47
141,176,26,24
196,458,20,40
578,1040,2,26
346,945,1560,4400
184,675,20,108
812,2120,10,59
623,780,104,168
3770,8770,51,74
910,1620,74,92
1420,5800,19,60
1490,2470,15,28
494,1190,392,4000
1480,2280,107,241
386,454,38,73
1350,3210,71,405
219,169,43,14
1440,2970,5,6
554,969,43,284
552,583,58,394
882,3050,31,28
775,1420,3,3
1980,2610,177,336
137,220,870,1240
3790,10600,28,31
307,531,10,83
695,469,510,825
12800,23000,49,61
610,1740,9,66
453,492,94,87
613,1200,16,50
189,160,7,7
401,1030,6,7
423,324,63,216
127,1080,51,31
219,143,60,62
132,171,27,77
1530,3040,154,456
431,332,26,55
513,901,107,220
318,581,500,409
2160,2960,729,1120
72,243,8,125
545,540,54,139
2570,2420,46,394
3810,5560,45,99
700,1330,34,176
1040,1220,41,104
530,1510,14,93
414,534,36,134
806,1240,252,736
264,277,25,92
946,2900,141,365
188,351,44,269
1560,6880,73,2200
2230,9780,104,173
362,443,22,42
2770,4760,24,141
342,1090,73,377
2170,7390,1010,2760
3380,7240,56,204
990,1270,489,3520
448,652,315,1110
879,3260,156,735
123,82,6,6
918,1460,12,28
6390,8440,22,24
572,606,19,58
119,175,58,258
169,309,465,826
180,606,66,150
5000,8130,979,1670
737,1980,0,252
336,373,110,224
272,412,68,82
318,242,590,1540
193,414,6,10
462,1130,25,40
26,139,54,118
85,73,1,4
3130,6450,82,138
43,32,0,5
162,472,12,27
738,891,22,27
263,159,16,199
1310,2530,7,7
69,191,148,278
130,242,252,540
370,531,14,52
341,1030,102,303
266,4130,73,98
436,589,7,44
225,290,32,209
660,5150,44,1
74,196,7,51
349,509,8,10
472,592,228,921
292,489,6,9
3530,14300,57,133
196,416,12,102
408,548,21,44
217,217,21,37
212,488,10,136
215,395,8,21
538,746,4,5
446,463,4,3
414,594,95,122
90,140,5,50
61,117,2,4
263,260,69,32
1390,3400,28,91
135,167,9,35
47,154,7,7
32,8,4,4
135,388,20,146
40,88,5,9
105,193,24,46
178,141,3,5
219,220,24,125
624,1900,1460,2590
59,318,4,61
1750,3030,53,92
1690,5420,259,183
2600,5190,55,114
1780,4790,5,10
153,433,0,2
103,188,67,132
614,1650,372,3760
216,601,1620,2380
2060,7520,37,374
1140,3840,115,420
739,1550,874,2090
20200,37600,2230,3510
1060,1150,3700,6930
247,697,9,154
184,794,45,42
