,guardian_google_all,guardian_google_18
0,639,354
1,3300,687
2,5860,964
3,1960,852
4,8370,1760
5,987,383
6,1950,518
7,1630,282
8,6610,1320
9,447,119
10,1200,361
11,2350,492
12,5510,1230
13,524,130
14,320,164
15,120,96
16,6040,1190
17,114,29
18,10600,1810
19,2680,721
20,775,147
21,2510,352
22,781,224
23,1730,496
24,1350,438
25,474,158
26,970,382
27,299,86
28,1560,345
29,334,97
30,1170,270
31,752,213
32,1330,323
33,959,182
34,2600,305
35,845,241
36,188,79
37,748,201
38,268,203
39,324,63
40,562,128
41,313,85
42,1940,371
43,2300,403
44,2800,288
45,344,85
46,500,151
47,234,83
48,214,102
49,1310,424
50,205,114
51,272,78
52,1220,216
53,689,185
54,321,170
55,427,225
56,8860,1400
57,1380,294
58,167,49
59,1060,310
60,301,81
61,844,330
62,343,214
63,275,190
64,158,75
65,265,39
66,803,139
67,2440,264
68,27,8
69,7960,1470
70,168,69
71,296,60
72,219,53
73,694,110
74,1970,305
75,623,98
76,812,158
77,12300,2720
78,50,21
79,116,70
80,359,118
81,270,86
82,348,77
83,90,33
84,112,85
85,12800,2480
86,193,43
87,192,69
88,416,148
89,42,14
90,118,21
91,1030,192
92,1060,269
93,528,142
94,497,95
95,1090,225
96,1420,309
97,240,163
98,235,76
99,260,176
100,1070,298
101,266,96
102,255,155
103,128,75
104,142,53
105,129,65
106,2030,620
107,765,62
108,321,109
109,429,216
110,408,84
111,3240,567
112,2120,383
113,271,82
114,3510,514
115,1440,315
116,67,21
117,95,54
118,228,104
119,59,41
120,2820,368
121,177,58
122,161,54
123,361,134
124,104,28
125,112,22
126,1720,366
127,60,4
128,195,51
129,49,38
130,143,107
131,195,44
132,460,130
133,595,194
134,346,109
135,132,98
136,832,104
137,870,281
138,5890,1180
139,163,93
140,617,186
141,201,39
142,227,140
143,143,45
144,303,118
145,678,123
146,675,102
147,663,266
148,526,143
149,194,28
150,819,244
151,483,124
152,465,92
153,286,71
154,1420,368
155,1010,143
156,595,182
157,35,39
158,36,21
159,426,136
160,60,28
161,18,4
162,373,167
163,37,2
164,277,103
165,2100,383
166,36,9
167,835,456
168,379,105
169,163,28
170,1220,214
171,774,419
172,576,59
173,664,274
174,60,57
175,51,25
176,709,173
177,553,145
178,180,48
179,406,70
180,22,48
181,75,15
182,324,111
183,746,123
184,30,13
185,69,9
186,53,104
187,15,6
188,117,150
189,211,90
190,51,60
191,45,19
192,229,8
193,87,88
194,38,21
195,39,14
196,60,8
197,72,39
198,44,25
199,37,9
200,66,19
201,607,186
202,59,46
203,492,104
204,286,40
205,108,64
206,911,337
207,172,22
208,158,43
209,262,92
210,856,118
211,819,150
212,648,135
213,1120,254
214,391,150
215,640,139
216,302,70
217,253,122
218,397,58
219,306,122
220,2140,451
221,1180,132
222,234,39
223,2930,501
224,265,47
225,442,120
226,797,152
227,1080,280
228,335,182
229,76,24
230,9,9
231,538,130
232,39,7
233,11700,1690
234,56,7
235,432,70
236,224,3
237,238,29
238,1110,192
239,152,90
240,182,13
241,48,16
242,119,8
243,7,2
244,595,112
245,4,1
246,155,31
247,18,19
248,18,4
249,23,9
250,49,48
251,27,24
252,33,19
253,170,39
254,34,29
255,49,9
256,95,59
257,95,5
258,55,7
259,34,8
260,219,56
261,384,98
262,270,46
263,55,21
264,42,18
265,59,39
266,90,76
267,48,3
268,3110,664
269,9,6
270,322,143
271,1,1
272,331,104
273,52,21
274,78,53
275,1110,144
276,41,9
277,27,1
278,98,46
279,70,8
280,87,34
281,28,4
282,67,16
283,259,86
284,248,111
285,75,35
286,256,65
287,98,18
288,335,90
289,146,15
290,338,116
291,1640,275
292,682,197
293,431,75
294,451,59
295,931,99
296,1770,401
297,1950,130
298,39,13
299,187,30
