,nome,instagram,urls,likes_avg
0,Kylian Mbappé,https://www.instagram.com/k.mbappe/,https://web.stagram.com/k.mbappe,1350438.8
1,Neymar,https://www.instagram.com/neymarjr,https://web.stagram.com/neymarjr,1570714.8
2,Lionel Messi,https://www.instagram.com/leomessi,https://web.stagram.com/leomessi,3483999.8
3,Mohamed Salah,https://www.instagram.com/mosalah/,https://web.stagram.com/mosalah,1260163.8
4,Harry Kane,https://www.instagram.com/harrykane/,https://web.stagram.com/harrykane,176495.6
5,Antoine Griezmann,https://www.instagram.com/antogriezmann/,https://web.stagram.com/antogriezmann,804463.4
6,Kevin De Bruyne,https://www.instagram.com/kevindebruyne/,https://web.stagram.com/kevindebruyne,326054.4
7,Philippe Coutinho,https://www.instagram.com/phil.coutinho/,https://web.stagram.com/phil.coutinho,1011744.0
8,Eden Hazard,https://www.instagram.com/hazardeden_10/,https://web.stagram.com/hazardeden_10,392957.2
9,Paulo Dybala,https://www.instagram.com/paulodybala/,https://web.stagram.com/paulodybala,1280171.0
10,Dele Alli,https://www.instagram.com/dele/,https://web.stagram.com/dele,210786.8
11,Romelu Lukaku,https://www.instagram.com/romelulukaku,https://web.stagram.com/romelulukaku,99904.2
12,Cristiano Ronaldo,https://www.instagram.com/cristiano,https://web.stagram.com/cristiano,4388353.8
13,Mauro Icardi,https://www.instagram.com/mauroicardi/,https://web.stagram.com/mauroicardi,113106.2
14,Marco Asensio,https://www.instagram.com/marcoasensio10/,https://web.stagram.com/marcoasensio10,496398.4
15,Sergej Milinkovic-Savic,https://www.instagram.com/sergej___21/,https://web.stagram.com/sergej___21,47958.9
16,Leroy Sané,https://www.instagram.com/leroysane19/,https://web.stagram.com/leroysane19,220848.9
17,Saúl Níguez,https://www.instagram.com/saulniguez/,https://web.stagram.com/saulniguez,55076.8
18,Raheem Sterling,https://www.instagram.com/sterling7/,https://web.stagram.com/sterling7,203524.4
19,Paul Pogba,https://www.instagram.com/paulpogba/,https://web.stagram.com/paulpogba,1256127.5
20,Isco,https://www.instagram.com/iscoalarcon/,https://web.stagram.com/iscoalarcon,604351.9
21,Gareth Bale,https://www.instagram.com/garethbale11,https://web.stagram.com/garethbale11,513341.5
22,Gabriel Jesus,https://www.instagram.com/dejesusoficial/,https://web.stagram.com/dejesusoficial,132277.3
23,Ousmane Dembélé,https://www.instagram.com/o.dembele7/,https://web.stagram.com/o.dembele7,499368.5
24,N'Golo Kanté,https://www.instagram.com/nglkante/,https://web.stagram.com/nglkante,562190.2
25,Raphaël Varane,https://www.instagram.com/raphaelvarane/,https://web.stagram.com/raphaelvarane,175770.6
26,Roberto Firmino,https://www.instagram.com/roberto_firmino/,https://web.stagram.com/roberto_firmino,384419.9
27,Jan Oblak,https://www.instagram.com/oblakjan/,https://web.stagram.com/oblakjan,81310.7
28,James Rodríguez,https://www.instagram.com/jamesrodriguez10/,https://web.stagram.com/jamesrodriguez10,1406475.3
29,Marc-André ter Stegen,https://www.instagram.com/mterstegen1,https://web.stagram.com/mterstegen1,321338.9
30,Christian Eriksen,https://www.instagram.com/chriseriksen8/,https://web.stagram.com/chriseriksen8,72236.2
31,Sergio Busquets,,,
32,Robert Lewandowski,https://www.instagram.com/_rl9/,https://web.stagram.com/_rl9,279147.2
33,Toni Kroos,https://www.instagram.com/toni.kr8s/,https://web.stagram.com/toni.kr8s,638051.0
34,Sergio Agüero,https://www.instagram.com/10aguerosergiokun/,https://web.stagram.com/10aguerosergiokun,252793.5
35,Pierre-Emerick Aubameyang,https://www.instagram.com/aubameyang97/,https://web.stagram.com/aubameyang97,266064.6
36,Thomas Lemar,https://www.instagram.com/thom_lemar27/,https://web.stagram.com/thom_lemar27,77563.5
37,Sadio Mané,https://www.instagram.com/sadiomaneofficiel/,https://web.stagram.com/sadiomaneofficiel,272329.8
38,Samuel Umtiti,https://www.instagram.com/samumtiti/,https://web.stagram.com/samumtiti,282891.8
39,Marco Verratti,https://www.instagram.com/marco_verratti92/,https://web.stagram.com/marco_verratti92,119613.3
40,Koke,https://www.instagram.com/koke6/,https://web.stagram.com/koke6,31600.5
41,Jordi Alba,https://www.instagram.com/JordiAlbaOficial#,https://web.stagram.com/JordiAlbaOficial#,172584.8
42,David de Gea,https://www.instagram.com/d_degeaofficial/,https://web.stagram.com/d_degeaofficial,381655.3
43,Marcelo,https://www.instagram.com/marcelotwelve/,https://web.stagram.com/marcelotwelve,727369.8
44,Luis Suárez,https://www.instagram.com/luissuarez9/,https://web.stagram.com/luissuarez9,526185.5
45,Miralem Pjanic,https://www.instagram.com/miralem_pjanic/,https://web.stagram.com/miralem_pjanic,189836.7
46,Ivan Rakitic,https://www.instagram.com/ivanrakitic/,https://web.stagram.com/ivanrakitic,311483.4
47,Casemiro,https://www.instagram.com/casemiro/,https://web.stagram.com/casemiro,262246.2
48,Naby Keïta,https://www.instagram.com/keitanabydeco/,https://web.stagram.com/keitanabydeco,97909.5
49,Marcus Rashford,https://www.instagram.com/marcusrashford/,https://web.stagram.com/marcusrashford,251412.2
50,Nabil Fekir,https://www.instagram.com/nabilfekir/,https://web.stagram.com/nabilfekir,94934.2
51,Lorenzo Insigne,https://www.instagram.com/lorinsigneofficial/,https://web.stagram.com/lorinsigneofficial,110741.5
52,Thibaut Courtois,https://www.instagram.com/thibautcourtois/,https://web.stagram.com/thibautcourtois,170586.2
53,Alexandre Lacazette,https://www.instagram.com/lacazettealex/,https://web.stagram.com/lacazettealex,182486.9
54,Bernardo Silva,https://www.instagram.com/bernardocarvalhosilva/,https://web.stagram.com/bernardocarvalhosilva,57591.2
55,Ederson,https://www.instagram.com/ederson93/,https://web.stagram.com/ederson93,76567.1
56,Anthony Martial,https://www.instagram.com/martial_9/,https://web.stagram.com/martial_9,372989.4
57,Riyad Mahrez,https://www.instagram.com/riyadmahrez26.7/,https://web.stagram.com/riyadmahrez26.7,228989.4
58,Timo Werner,https://www.instagram.com/timowerner/,https://web.stagram.com/timowerner,39447.1
59,Virgil van Dijk,https://www.instagram.com/virgilvandijk/,https://web.stagram.com/virgilvandijk,236103.5
60,Daniel Carvajal,https://www.instagram.com/dani.carvajal.2/,https://web.stagram.com/dani.carvajal.2,117677.3
61,Álvaro Morata,https://www.instagram.com/alvaromorata,https://web.stagram.com/alvaromorata,293953.1
62,Alisson,https://www.instagram.com/alissonbecker/,https://web.stagram.com/alissonbecker,218720.2
63,Jorginho,https://www.instagram.com/jorginhofrello/?hl=it,https://web.stagram.com/jorginhofrello,39095.5
64,Kalidou Koulibaly,https://www.instagram.com/kkoulibaly26/,https://web.stagram.com/kkoulibaly26,49435.2
65,Thiago,https://www.instagram.com/thiago6/,https://web.stagram.com/thiago6,128785.2
66,Edinson Cavani,https://www.instagram.com/cavaniofficial21/,https://web.stagram.com/cavaniofficial21,117515.0
67,Diego Costa,https://www.instagram.com/diego.costa/,https://web.stagram.com/diego.costa,145902.3
68,Kai Havertz,https://www.instagram.com/kaihavertz29/,https://web.stagram.com/kaihavertz29,21058.2
69,John Stones,https://www.instagram.com/johnstonesofficial/,https://web.stagram.com/johnstonesofficial,52937.1
70,Marquinhos,https://www.instagram.com/marquinhosm5/,https://web.stagram.com/marquinhosm5,79586.3
71,Joshua Kimmich,https://www.instagram.com/jok_32/,https://web.stagram.com/jok_32,138377.5
72,Sergi Roberto,https://www.instagram.com/sergiroberto/,https://web.stagram.com/sergiroberto,282920.4
73,Douglas Costa,https://www.instagram.com/douglascosta/,https://web.stagram.com/douglascosta,192367.4
74,Alexis Sánchez,https://www.instagram.com/alexis_officia1/,https://web.stagram.com/alexis_officia1,457390.8
75,Mats Hummels,https://www.instagram.com/aussenrist15/,https://web.stagram.com/aussenrist15,72780.1
76,Gonzalo Higuaín,https://www.instagram.com/ghiguain20_9,https://web.stagram.com/ghiguain20_9,240408.9
77,Arthur,https://www.instagram.com/arthurhmelo/,https://web.stagram.com/arthurhmelo,250567.2
78,Federico Chiesa,https://www.instagram.com/fedexchiesa/,https://web.stagram.com/fedexchiesa,39444.5
79,Matthijs de Ligt,https://www.instagram.com/mdeligt_/,https://web.stagram.com/mdeligt_,78713.1
80,Lucas Hernández,https://www.instagram.com/lucashernandez21/,https://web.stagram.com/lucashernandez21,133587.9
81,José Giménez,https://www.instagram.com/josemariagimenez/,https://web.stagram.com/josemariagimenez,36323.2
82,Kingsley Coman,https://www.instagram.com/king_coman/,https://web.stagram.com/king_coman,74336.5
83,Milan Skriniar,https://www.instagram.com/milanskriniar/,https://web.stagram.com/milanskriniar,74516.9
84,Kepa,https://www.instagram.com/kepaarrizabalaga/,https://web.stagram.com/kepaarrizabalaga,108973.8
85,Fred,https://www.instagram.com/fred08oficial/,https://web.stagram.com/fred08oficial,52596.4
86,Florian Thauvin,https://www.instagram.com/flotov/,https://web.stagram.com/flotov,79404.1
87,Adrien Rabiot,https://www.instagram.com/adrienrabiot_25/,https://web.stagram.com/adrienrabiot_25,31954.0
88,Aymeric Laporte,https://www.instagram.com/a.laporte/,https://web.stagram.com/a.laporte,30838.8
89,Niklas Süle,https://www.instagram.com/nsuele25/,https://web.stagram.com/nsuele25,44134.7
90,Rodrigo,https://www.instagram.com/rodrigom_91/,https://web.stagram.com/rodrigom_91,24242.8
91,Ciro Immobile,https://www.instagram.com/ciroimmobile17/,https://web.stagram.com/ciroimmobile17,60052.0
92,Kyle Walker,https://www.instagram.com/kylewalker2/,https://web.stagram.com/kylewalker2,68661.4
93,Heung-min Son,https://www.instagram.com/hm_son7/,https://web.stagram.com/hm_son7,342598.3
94,David Alaba,https://www.instagram.com/da_27/,https://web.stagram.com/da_27,87938.9
95,Thomas Müller,https://www.instagram.com/esmuellert/,https://web.stagram.com/esmuellert,101850.2
96,Willian,https://www.instagram.com/willianborges88/,https://web.stagram.com/willianborges88,81977.2
97,Jadon Sancho,https://www.instagram.com/sanchooo10/,https://web.stagram.com/sanchooo10,173910.3
98,Leon Bailey,https://www.instagram.com/leonbailey_9/,https://web.stagram.com/leonbailey_9,22918.7
99,Richarlison,https://www.instagram.com/richarlison/,https://web.stagram.com/richarlison,201611.4
100,Malcom,https://www.instagram.com/malcomoliveira_97/,https://web.stagram.com/malcomoliveira_97,167952.6
101,Christian Pulisic,https://www.instagram.com/cmpulisic/,https://web.stagram.com/cmpulisic,105144.2
102,Fabinho,https://www.instagram.com/fabinho/,https://web.stagram.com/fabinho,73856.0
103,Federico Bernardeschi,https://www.instagram.com/fbernardeschi/,https://web.stagram.com/fbernardeschi,116760.6
104,Corentin Tolisso,https://www.instagram.com/corentintolisso/,https://web.stagram.com/corentintolisso,135288.4
105,Julian Brandt,https://www.instagram.com/julianbrandt/,https://web.stagram.com/julianbrandt,43788.1
106,Harry Maguire,https://www.instagram.com/harrymaguire93/,https://web.stagram.com/harrymaguire93,60385.4
107,Memphis Depay,https://www.instagram.com/memphisdepay/,https://web.stagram.com/memphisdepay,267743.4
108,Benjamin Mendy,https://www.instagram.com/benmendy23/,https://web.stagram.com/benmendy23,107213.2
109,Marcos Alonso,https://www.instagram.com/marcosalonso28/,https://web.stagram.com/marcosalonso28,77930.2
110,Alex Sandro,https://www.instagram.com/alxsndro12/,https://web.stagram.com/alxsndro12,90102.4
111,Aaron Ramsey,https://www.instagram.com/aaronramsey/,https://web.stagram.com/aaronramsey,87672.3
112,Ángel Di María,https://www.instagram.com/angeldimariajm/,https://web.stagram.com/angeldimariajm,145454.8
113,Ivan Perisic,https://www.instagram.com/ivanperisic444/,https://web.stagram.com/ivanperisic444,96473.7
114,Mesut Özil,https://www.instagram.com/M10_OFFICIAL/,https://web.stagram.com/M10_OFFICIAL,411324.2
115,Gerard Piqué,https://www.instagram.com/3gerardpique/,https://web.stagram.com/3gerardpique,524972.1
116,Rodri,,,
117,Benjamin Pavard,https://www.instagram.com/benpavard21/,https://web.stagram.com/benpavard21,193630.5
118,Davinson Sánchez,https://www.instagram.com/daosanchez13/,https://web.stagram.com/daosanchez13,34491.0
119,Frenkie de Jong,https://www.instagram.com/frenkiedejong/,https://web.stagram.com/frenkiedejong,68773.1
120,Lucas Torreira,https://www.instagram.com/ltorreira34/,https://web.stagram.com/ltorreira34,137804.3
121,Hirving Lozano,https://www.instagram.com/hirvinglozano/,https://web.stagram.com/hirvinglozano,192438.8
122,Gianluigi Donnarumma,https://www.instagram.com/gigiodonna99/,https://web.stagram.com/gigiodonna99,63781.1
123,Rúben Neves,https://www.instagram.com/rubendsneves/,https://web.stagram.com/rubendsneves,24982.2
124,Gonçalo Guedes,https://www.instagram.com/goncaloguedes15/,https://web.stagram.com/goncaloguedes15,32234.3
125,Alessio Romagnoli,https://www.instagram.com/alessio.romagnoli/,https://web.stagram.com/alessio.romagnoli,81549.9
126,Andreas Christensen,https://www.instagram.com/andreaschristensen3/,https://web.stagram.com/andreaschristensen3,35742.0
127,Jonathan Tah,https://www.instagram.com/jonathantah_/,https://web.stagram.com/jonathantah_,5527.2
128,Héctor Bellerín,https://www.instagram.com/hectorbellerin/,https://web.stagram.com/hectorbellerin,161652.5
129,Clément Lenglet,https://www.instagram.com/clement_lenglet/,https://web.stagram.com/clement_lenglet,109347.8
130,João Cancelo,https://www.instagram.com/jpcancelo/,https://web.stagram.com/jpcancelo,171117.2
131,Piotr Zielinski,https://www.instagram.com/zielu_94,https://web.stagram.com/zielu_94,33504.0
132,Michy Batshuayi,https://www.instagram.com/mbatshuayi/,https://web.stagram.com/mbatshuayi,82214.8
133,Eric Dier,https://www.instagram.com/ericdier15/,https://web.stagram.com/ericdier15,34933.9
134,Marcelo Brozovic,https://www.instagram.com/marcelo_brozovic/,https://web.stagram.com/marcelo_brozovic,57963.0
135,Leon Goretzka,https://www.instagram.com/leon_goretzka,https://web.stagram.com/leon_goretzka,74519.7
136,Alex Oxlade-Chamberlain,https://www.instagram.com/alexoxchamberlain/,https://web.stagram.com/alexoxchamberlain,149718.8
137,Jesse Lingard,https://www.instagram.com/jesselingard/,https://web.stagram.com/jesselingard,377023.4
138,Allan,https://www.instagram.com/allanmarques91/,https://web.stagram.com/allanmarques91,48387.7
139,Suso,https://www.instagram.com/suso/,https://web.stagram.com/suso,77331.7
140,Granit Xhaka,https://www.instagram.com/granitxhaka/,https://web.stagram.com/granitxhaka,112283.8
141,Stefan de Vrij,https://www.instagram.com/Stefandevrij/,https://web.stagram.com/Stefandevrij,43183.5
142,Stefan Savic,https://www.instagram.com/savkee15/,https://web.stagram.com/savkee15,12078.2
143,Konstantinos Manolas,https://www.instagram.com/kostasmanolas44/,https://web.stagram.com/kostasmanolas44,51690.2
144,Antonio Rüdiger,https://www.instagram.com/toniruediger/,https://web.stagram.com/toniruediger,48930.9
145,Nemanja Matic,https://www.instagram.com/nemanjamatic/,https://web.stagram.com/nemanjamatic,96524.5
146,César Azpilicueta,https://www.instagram.com/cesarazpi/,https://web.stagram.com/cesarazpi,66756.6
147,Ilkay Gündogan,https://www.instagram.com/ilkayguendogan/,https://web.stagram.com/ilkayguendogan,35939.9
148,Georginio Wijnaldum,https://www.instagram.com/gwijnaldum/,https://web.stagram.com/gwijnaldum,75347.7
149,Javi Martínez,https://www.instagram.com/javi8martinez,https://web.stagram.com/javi8martinez,27783.8
150,Toby Alderweireld,https://www.instagram.com/tobyalderweireld/,https://web.stagram.com/tobyalderweireld,25214.9
151,Radja Nainggolan,https://www.instagram.com/radja_nainggolan_l4/,https://web.stagram.com/radja_nainggolan_l4,211375.4
152,Marco Reus,https://www.instagram.com/marcinho11/,https://web.stagram.com/marcinho11,358456.4
153,Jérôme Boateng,https://www.instagram.com/jeromeboateng,https://web.stagram.com/jeromeboateng,68551.8
154,Sergio Ramos,https://www.instagram.com/sergioramos/,https://web.stagram.com/sergioramos,543857.4
155,Karim Benzema,https://www.instagram.com/karimbenzema/,https://web.stagram.com/karimbenzema,308339.8
156,Paulinho,https://www.instagram.com/paulinhop8/,https://web.stagram.com/paulinhop8,60189.0
157,Tanguy Ndombélé,https://www.instagram.com/ndombele_22/,https://web.stagram.com/ndombele_22,20863.2
158,Houssem Aouar,https://www.instagram.com/houssem_aouar/,https://web.stagram.com/houssem_aouar,24540.2
159,Ryan Sessegnon,https://www.instagram.com/ryansess/,https://web.stagram.com/ryansess,17616.5
160,Vinícius Júnior,https://www.instagram.com/viniciusjunior/,https://web.stagram.com/viniciusjunior,596744.2
