onzemondial_google,thesun,marca,bild.de,eurosportDE_google,lequipe_google,mundodeportivo_google,espn_google,bein_google
3670,1764,571,1460,771,45800,3130,7200,6280
13600,3788,7039,8230,11300,57800,93100,22800,17300
31000,4404,23322,7740,2450,52100,127000,35700,20700
2770,2416,457,1440,616,7120,1500,21100,5140
3290,4805,275,546,371,657,46700,3980,2700
1150,1597,3361,1020,1100,46800,9050,10300,11500
668,1735,407,1460,994,890,978,3010,3030
1140,2001,907,647,511,764,3430,2620,4050
1860,3972,886,1670,1270,51800,2170,10200,9480
10100,643,425,315,490,584,1710,1630,5780
106,2435,139,217,159,407,405,698,1980
1010,3799,493,659,473,1250,1170,7040,3650
69200,6041,15446,7760,4800,47700,108000,19700,21400
50400,402,314,124,141,440,940,3090,3690
232,393,1502,299,330,2990,2840,1490,4240
11700,178,5,45,46,89,232,457,574
1420,1406,3413,2510,1940,1160,626,1950,2220
53,139,25,59,54,180,153,163,595
527,3401,399,1030,315,2200,810,14800,2980
18500,5267,957,9560,2740,52500,2360,15300,9540
788,615,3742,662,896,776,4750,13000,4770
682,2151,2216,1200,615,47300,2850,3200,3690
381,1360,216,243,189,349,776,1440,1260
131,678,142,966,903,45500,969,702,2980
358,1563,209,1840,635,50700,565,2650,2290
407,343,4489,353,244,2390,3640,610,4590
350,1442,248,853,487,530,581,1430,1510
162,213,1216,142,146,394,3340,808,1320
1080,790,1562,957,4140,1110,2410,3470,2660
404,281,1230,2550,1190,557,4620,1030,1510
51000,1004,318,261,245,2740,565,5570,1440
613,318,3495,446,246,719,8470,1290,1790
1190,671,1011,4610,3610,5030,2700,1230,5310
683,550,2281,4960,1990,1240,3240,1720,2260
3470,2381,4823,877,545,1700,3020,4350,3850
964,1590,408,3200,2230,11300,943,4260,3400
8,511,61,126,76,769,309,273,1190
59,1383,322,202,410,268,277,709,1030
200,336,519,135,229,2210,2990,1050,3070
2060,320,410,270,176,2570,965,403,4180
333,143,3041,193,112,520,4840,670,1530
1180,237,2180,125,183,421,4710,1700,1430
796,1747,2493,766,287,1450,14500,8880,1930
1820,933,8560,1320,707,5570,9080,6540,5400
987,1619,4160,890,666,62000,13400,5570,4830
14000,214,293,131,160,423,942,534,2690
519,407,2270,655,352,3950,5660,2810,3650
443,293,1588,197,194,459,2750,823,1490
71,446,47,533,341,160,98,319,560
303,2848,127,274,207,459,450,2850,1760
97,256,106,62,335,15000,510,1590,3740
13800,156,251,165,103,381,472,231,1430
496,1314,2052,441,257,921,4620,3570,2920
481,1654,229,226,262,13200,798,937,2310
162,747,123,138,101,918,645,502,1460
449,657,152,202,81,831,271,531,858
1130,3009,1801,947,594,9660,1380,3830,3170
280,1362,229,160,159,1880,620,1400,2090
26,172,54,2140,1210,129,198,358,614
1390,1167,159,247,430,4340,362,4060,1340
318,261,2391,412,262,406,3480,719,1650
10900,2099,2726,591,656,819,24700,4660,5500
1070,560,179,240,99,256,736,3210,991
1450,439,128,117,84,257,322,2980,533
16900,246,72,71,46,9820,405,4030,2840
697,155,710,608,171,340,1250,236,640
3270,811,1471,1570,708,52600,2400,4020,6300
2060,2035,4015,689,329,1430,5990,6740,2960
2,23,8,435,338,35,68,47,41
51,2169,42,528,106,145,341,1350,698
717,214,471,175,123,1980,1020,1800,2210
241,176,119,2260,2650,405,447,289,783
177,203,1330,77,119,257,5230,918,1950
11200,254,279,802,767,323,825,512,1210
606,4078,1454,823,602,3900,3100,1430,3050
443,309,431,11200,5800,744,722,320,1760
30200,660,4557,749,381,1020,6530,3260,4770
542,2643,309,1880,468,2500,3820,9420,1620
