nome,squadra,nazione_squadra
Kylian Mbappé,FC Paris Saint-Germain,Francia
Neymar,FC Paris Saint-Germain,Francia
Lionel Messi,FC Barcellona,Spagna
Mohamed Salah,FC Liverpool,Inghilterra
Harry Kane,Tottenham Hotspur,Inghilterra
Antoine Griezmann,Atlético de Madrid,Spagna
Kevin De Bruyne,Manchester City,Inghilterra
Philippe Coutinho,FC Barcellona,Spagna
Eden Hazard,Chelsea FC,Inghilterra
Paulo Dybala,Juventus FC,Italia
Dele Alli,Tottenham Hotspur,Inghilterra
Romelu Lukaku,Manchester United,Inghilterra
Cristiano Ronaldo,Juventus FC,Italia
Mauro Icardi,FC Internazionale,Italia
Marco Asensio,Real Madrid CF,Spagna
Sergej Milinkovic-Savic,SS Lazio,Italia
Leroy Sané,Manchester City,Inghilterra
Saúl Níguez,Atlético de Madrid,Spagna
Raheem Sterling,Manchester City,Inghilterra
Paul Pogba,Manchester United,Inghilterra
Isco,Real Madrid CF,Spagna
Gareth Bale,Real Madrid CF,Spagna
Gabriel Jesus,Manchester City,Inghilterra
Ousmane Dembélé,FC Barcellona,Spagna
N'Golo Kanté,Chelsea FC,Inghilterra
Raphaël Varane,Real Madrid CF,Spagna
Roberto Firmino,FC Liverpool,Inghilterra
Jan Oblak,Atlético de Madrid,Spagna
James Rodríguez,FC Bayern Monaco,Germania
Marc-André ter Stegen,FC Barcellona,Spagna
Christian Eriksen,Tottenham Hotspur,Inghilterra
Sergio Busquets,FC Barcellona,Spagna
Robert Lewandowski,FC Bayern Monaco,Germania
Toni Kroos,Real Madrid CF,Spagna
Sergio Agüero,Manchester City,Inghilterra
Pierre-Emerick Aubameyang,FC Arsenal,Inghilterra
Thomas Lemar,Atlético de Madrid,Spagna
Sadio Mané,FC Liverpool,Inghilterra
Samuel Umtiti,FC Barcellona,Spagna
Marco Verratti,FC Paris Saint-Germain,Francia
Koke,Atlético de Madrid,Spagna
Jordi Alba,FC Barcellona,Spagna
David de Gea,Manchester United,Inghilterra
Marcelo,Real Madrid CF,Spagna
Luis Suárez,FC Barcellona,Spagna
Miralem Pjanic,Juventus FC,Italia
Ivan Rakitic,FC Barcellona,Spagna
Casemiro,Real Madrid CF,Spagna
Naby Keïta,FC Liverpool,Inghilterra
Marcus Rashford,Manchester United,Inghilterra
Nabil Fekir,Olympique Lione,Francia
Lorenzo Insigne,SSC Napoli,Italia
Thibaut Courtois,Real Madrid CF,Spagna
Alexandre Lacazette,FC Arsenal,Inghilterra
Bernardo Silva,Manchester City,Inghilterra
Ederson,Manchester City,Inghilterra
Anthony Martial,Manchester United,Inghilterra
Riyad Mahrez,Manchester City,Inghilterra
Timo Werner,RasenBallsport Lipsia,Germania
Virgil van Dijk,FC Liverpool,Inghilterra
Daniel Carvajal,Real Madrid CF,Spagna
Álvaro Morata,Chelsea FC,Inghilterra
Alisson,FC Liverpool,Inghilterra
Jorginho,Chelsea FC,Inghilterra
Kalidou Koulibaly,SSC Napoli,Italia
Thiago Alcantara,FC Bayern Monaco,Germania
Edinson Cavani,FC Paris Saint-Germain,Francia
Diego Costa,Atlético de Madrid,Spagna
Kai Havertz,Bayer 04 Leverkusen,Germania
John Stones,Manchester City,Inghilterra
Marquinhos,FC Paris Saint-Germain,Francia
Joshua Kimmich,FC Bayern Monaco,Germania
Sergi Roberto,FC Barcellona,Spagna
Douglas Costa,Juventus FC,Italia
Alexis Sánchez,Manchester United,Inghilterra
Mats Hummels,FC Bayern Monaco,Germania
Gonzalo Higuaín,AC Milan,Italia
Arthur,FC Barcellona,Spagna
Federico Chiesa,ACF Fiorentina,Italia
Matthijs de Ligt,AFC Ajax Amsterdam,Olanda
Lucas Hernández,Atlético de Madrid,Spagna
José Giménez,Atlético de Madrid,Spagna
Kingsley Coman,FC Bayern Monaco,Germania
Milan Skriniar,FC Internazionale,Italia
Kepa,Chelsea FC,Inghilterra
Fred,Manchester United,Inghilterra
Florian Thauvin,Olympique Marsiglia,Francia
Adrien Rabiot,FC Paris Saint-Germain,Francia
Aymeric Laporte,Manchester City,Inghilterra
Niklas Süle,FC Bayern Monaco,Germania
Rodrigo Moreno,Valencia CF,Spagna
Ciro Immobile,SS Lazio,Italia
