nome,wiki,urls,wiki_visual,wiki_avg
Kylian Mbappé,https://en.wikipedia.org/wiki/Kylian_Mbappé,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Kylian_Mbappé,6854994,19364
Neymar,https://en.wikipedia.org/wiki/Neymar,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Neymar,6094579,17216
Lionel Messi,https://en.wikipedia.org/wiki/Lionel_Messi,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Lionel_Messi,11563642,32666
Mohamed Salah,https://en.wikipedia.org/wiki/Mohamed_Salah,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Mohamed_Salah,6538061,18469
Harry Kane,https://en.wikipedia.org/wiki/Harry_Kane,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Harry_Kane,5013018,14161
Antoine Griezmann,https://en.wikipedia.org/wiki/Antoine_Griezmann,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Antoine_Griezmann,3221342,9100
Kevin De Bruyne,https://en.wikipedia.org/wiki/Kevin_De_Bruyne,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Kevin_De_Bruyne,1644090,4644
Philippe Coutinho,https://en.wikipedia.org/wiki/Philippe_Coutinho,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Philippe_Coutinho,2619788,7401
Eden Hazard,https://en.wikipedia.org/wiki/Eden_Hazard,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Eden_Hazard,3049334,8614
Paulo Dybala,https://en.wikipedia.org/wiki/Paulo_Dybala,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Paulo_Dybala,1678324,4741
