,season,goals,name
0,Season 08/09,1,Aaron Cresswell
1,Season 10/11,5,Aaron Cresswell
2,Season 11/12,1,Aaron Cresswell
3,Season 12/13,4,Aaron Cresswell
4,Season 13/14,2,Aaron Cresswell
5,Season 14/15,2,Aaron Cresswell
6,Season 15/16,2,Aaron Cresswell
7,Season 17/18,1,Aaron Cresswell
0,Season 04/05,1,Aaron Lennon
1,Season 05/06,2,Aaron Lennon
2,Season 06/07,5,Aaron Lennon
3,Season 07/08,3,Aaron Lennon
4,Season 08/09,5,Aaron Lennon
5,Season 09/10,3,Aaron Lennon
6,Season 10/11,3,Aaron Lennon
7,Season 11/12,4,Aaron Lennon
8,Season 12/13,4,Aaron Lennon
9,Season 13/14,1,Aaron Lennon
10,Season 14/15,2,Aaron Lennon
11,Season 15/16,6,Aaron Lennon
12,Season 16/17,1,Aaron Lennon
13,Season 18/19,1,Aaron Lennon
0,Season 13/14,9,Aaron Leya Iseka
1,Season 14/15,11,Aaron Leya Iseka
2,Season 17/18,9,Aaron Leya Iseka
3,Season 18/19,3,Aaron Leya Iseka
0,Season 10/11,1,Aaron Mooy
1,Season 11/12,1,Aaron Mooy
2,Season 12/13,1,Aaron Mooy
3,Season 13/14,4,Aaron Mooy
4,Season 14/15,7,Aaron Mooy
5,Season 15/16,11,Aaron Mooy
6,Season 16/17,4,Aaron Mooy
7,Season 17/18,4,Aaron Mooy
8,Season 18/19,2,Aaron Mooy
0,Season 07/08,2,Aaron Ramsey
1,Season 08/09,1,Aaron Ramsey
2,Season 09/10,4,Aaron Ramsey
3,Season 10/11,3,Aaron Ramsey
4,Season 11/12,3,Aaron Ramsey
5,Season 12/13,2,Aaron Ramsey
6,Season 13/14,16,Aaron Ramsey
7,Season 14/15,10,Aaron Ramsey
8,Season 15/16,6,Aaron Ramsey
9,Season 16/17,4,Aaron Ramsey
10,Season 17/18,11,Aaron Ramsey
11,Season 18/19,2,Aaron Ramsey
0,Season 15/16,1,Aarón Martín
0,Season 15/16,2,Abdallah Ndour
1,Season 16/17,1,Abdallah Ndour
0,Season 12/13,1,Abdel Malik Hsissane
1,Season 14/15,1,Abdel Malik Hsissane
0,Season 14/15,2,Abdelhamid Sabiri
1,Season 15/16,20,Abdelhamid Sabiri
2,Season 16/17,18,Abdelhamid Sabiri
0,Season 14/15,10,Abdou Diakhate
1,Season 15/16,5,Abdou Diakhate
2,Season 16/17,12,Abdou Diakhate
3,Season 17/18,11,Abdou Diakhate
0,Season 15/16,3,Abdou Diallo
1,Season 17/18,3,Abdou Diallo
2,Season 18/19,1,Abdou Diallo
0,Season 10/11,9,Abdoulaye Ba
1,Season 11/12,2,Abdoulaye Ba
2,Season 12/13,2,Abdoulaye Ba
3,Season 13/14,1,Abdoulaye Ba
4,Season 15/16,1,Abdoulaye Ba
5,Season 16/17,5,Abdoulaye Ba
0,Season 13/14,1,Abdoulaye Bamba
1,Season 15/16,1,Abdoulaye Bamba
0,Season 12/13,1,Abdoulaye Doucouré
1,Season 13/14,7,Abdoulaye Doucouré
2,Season 14/15,5,Abdoulaye Doucouré
3,Season 15/16,3,Abdoulaye Doucouré
4,Season 16/17,1,Abdoulaye Doucouré
5,Season 17/18,7,Abdoulaye Doucouré
6,Season 18/19,2,Abdoulaye Doucouré
0,Season 17/18,1,Abdoulaye Touré
1,Season 18/19,2,Abdoulaye Touré
0,Season 14/15,2,Abdul Rahman Baba
1,Season 16/17,1,Abdul Rahman Baba
0,Season 15/16,5,Aboubakar Kamara
1,Season 16/17,11,Aboubakar Kamara
2,Season 17/18,7,Aboubakar Kamara
3,Season 18/19,4,Aboubakar Kamara
0,Season 15/16,2,Achraf Hakimi
1,Season 16/17,3,Achraf Hakimi
2,Season 17/18,2,Achraf Hakimi
3,Season 18/19,1,Achraf Hakimi
0,Season 10/11,3,Achraf Lazaar
1,Season 11/12,1,Achraf Lazaar
2,Season 12/13,1,Achraf Lazaar
3,Season 14/15,2,Achraf Lazaar
4,Season 15/16,1,Achraf Lazaar
5,Season 17/18,1,Achraf Lazaar
0,Season 15/16,9,Adalberto Peñaranda
0,Season 04/05,7,Adam Bodzek
