nome,transfermarkt,instagram,facebook,twitter,wiki
Kylian Mbappé,https://www.transfermarkt.it/kylian-mbappe/profil/spieler/342229,https://www.instagram.com/k.mbappe/,https://www.facebook.com/kylianmbappeofficiel/,https://twitter.com/KMbappe,https://en.wikipedia.org/wiki/Kylian_Mbappé
Neymar,https://www.transfermarkt.it/neymar/profil/spieler/68290,https://www.instagram.com/neymarjr,https://www.facebook.com/neymarjr,https://twitter.com/neymarjr,https://en.wikipedia.org/wiki/Neymar
Lionel Messi,https://www.transfermarkt.it/lionel-messi/profil/spieler/28003,https://www.instagram.com/leomessi,https://www.facebook.com/LeoMessi,,https://en.wikipedia.org/wiki/Lionel_Messi
Mohamed Salah,https://www.transfermarkt.it/mohamed-salah/profil/spieler/148455,https://www.instagram.com/mosalah/,https://www.facebook.com/momosalah,https://twitter.com/MoSalah,https://en.wikipedia.org/wiki/Mohamed_Salah
Harry Kane,https://www.transfermarkt.it/harry-kane/profil/spieler/132098,https://www.instagram.com/harrykane/,https://www.facebook.com/harrykaneofficial,https://twitter.com/HKane,https://en.wikipedia.org/wiki/Harry_Kane
Antoine Griezmann,https://www.transfermarkt.it/antoine-griezmann/profil/spieler/125781,https://www.instagram.com/antogriezmann/,https://www.facebook.com/antoine.griezmann/,https://twitter.com/AntoGriezmann,https://en.wikipedia.org/wiki/Antoine_Griezmann
Kevin De Bruyne,https://www.transfermarkt.it/kevin-de-bruyne/profil/spieler/88755,https://www.instagram.com/kevindebruyne/,https://www.facebook.com/DeBruyneOfficial,https://twitter.com/DeBruyneKev,https://en.wikipedia.org/wiki/Kevin_De_Bruyne
Philippe Coutinho,https://www.transfermarkt.it/philippe-coutinho/profil/spieler/80444,https://www.instagram.com/phil.coutinho/,https://www.facebook.com/philippe.coutinho/,https://twitter.com/Phil_Coutinho,https://en.wikipedia.org/wiki/Philippe_Coutinho
Eden Hazard,https://www.transfermarkt.it/eden-hazard/profil/spieler/50202,https://www.instagram.com/hazardeden_10/,https://www.facebook.com/edenhazard/,https://twitter.com/hazardeden10,https://en.wikipedia.org/wiki/Eden_Hazard
Paulo Dybala,https://www.transfermarkt.it/paulo-dybala/profil/spieler/206050,https://www.instagram.com/paulodybala/,https://www.facebook.com/paulodybala/,https://twitter.com/paudybala_jr,https://en.wikipedia.org/wiki/Paulo_Dybala
Dele Alli,https://www.transfermarkt.it/dele-alli/profil/spieler/207929,https://www.instagram.com/dele/,https://www.facebook.com/DeleOfficial/,https://twitter.com/dele_official,https://en.wikipedia.org/wiki/Dele_Alli
Romelu Lukaku,https://www.transfermarkt.it/romelu-lukaku/profil/spieler/96341,https://www.instagram.com/romelulukaku,https://facebook.com/Romelulukaku/,https://twitter.com/RomeluLukaku9,https://en.wikipedia.org/wiki/Romelu_Lukaku
Cristiano Ronaldo,https://www.transfermarkt.it/cristiano-ronaldo/profil/spieler/8198,https://www.instagram.com/cristiano,https://www.facebook.com/Cristiano,https://twitter.com/Cristiano,https://en.wikipedia.org/wiki/Cristiano_Ronaldo
Mauro Icardi,https://www.transfermarkt.it/mauro-icardi/profil/spieler/68863,https://www.instagram.com/mauroicardi/,https://www.facebook.com/MauroIcardiOficial/,https://twitter.com/MauroIcardi,https://en.wikipedia.org/wiki/Mauro_Icardi
Marco Asensio,https://www.transfermarkt.it/marco-asensio/profil/spieler/296622,https://www.instagram.com/marcoasensio10/,https://www.facebook.com/marcoasensio10/,https://twitter.com/marcoasensio10,https://en.wikipedia.org/wiki/Marco_Asensio
Sergej Milinkovic-Savic,https://www.transfermarkt.it/sergej-milinkovic-savic/profil/spieler/266302,https://www.instagram.com/sergej___21/,,,https://en.wikipedia.org/wiki/Sergej_Milinkovic-Savic
Leroy Sané,https://www.transfermarkt.it/leroy-sane/profil/spieler/192565,https://www.instagram.com/leroysane19/,https://www.facebook.com/leroysane/,https://twitter.com/LeroySane19,https://en.wikipedia.org/wiki/Leroy_Sané
Saúl Níguez,https://www.transfermarkt.it/saul-niguez/profil/spieler/148928,https://www.instagram.com/saulniguez/,https://www.facebook.com/saulniguez/,https://twitter.com/saulniguez,https://en.wikipedia.org/wiki/Saúl_Ñíguez
Raheem Sterling,https://www.transfermarkt.it/raheem-sterling/profil/spieler/134425,https://www.instagram.com/sterling7/,https://www.facebook.com/sterling7official,https://twitter.com/sterling7,https://en.wikipedia.org/wiki/Raheem_Sterling
Paul Pogba,https://www.transfermarkt.it/paul-pogba/profil/spieler/122153,https://www.instagram.com/paulpogba/,https://www.facebook.com/PaulPogba,https://twitter.com/paulpogba,https://en.wikipedia.org/wiki/Paul_Pogba
Isco,https://www.transfermarkt.it/isco/profil/spieler/85288,https://www.instagram.com/iscoalarcon/,https://www.facebook.com/iscoalarcon/,https://twitter.com/isco_alarcon,https://en.wikipedia.org/wiki/Isco
Gareth Bale,https://www.transfermarkt.it/gareth-bale/profil/spieler/39381,https://www.instagram.com/garethbale11,https://www.facebook.com/Bale,https://twitter.com/GarethBale11,https://en.wikipedia.org/wiki/Gareth_Bale
Gabriel Jesus,https://www.transfermarkt.it/gabriel-jesus/profil/spieler/363205,https://www.instagram.com/dejesusoficial/,https://www.facebook.com/gabrieljesus/,https://twitter.com/gabrieljesus33,https://en.wikipedia.org/wiki/Gabriel_Jesus
Ousmane Dembélé,https://www.transfermarkt.it/ousmane-dembele/profil/spieler/288230,https://www.instagram.com/o.dembele7/,,https://twitter.com/Dembouz,https://en.wikipedia.org/wiki/Ousmane_Dembélé
N'Golo Kanté,https://www.transfermarkt.it/ngolo-kante/profil/spieler/225083,https://www.instagram.com/nglkante/,https://www.facebook.com/nglkante,https://twitter.com/nglkante,https://en.wikipedia.org/wiki/N%27Golo_Kanté
Raphaël Varane,https://www.transfermarkt.it/raphael-varane/profil/spieler/164770,https://www.instagram.com/raphaelvarane/,https://www.facebook.com/raphaelvarane/,https://twitter.com/raphaelvarane,https://en.wikipedia.org/wiki/Raphaël_Varane
Roberto Firmino,https://www.transfermarkt.it/roberto-firmino/profil/spieler/131789,https://www.instagram.com/roberto_firmino/,https://www.facebook.com/robertofirmino,,https://en.wikipedia.org/wiki/Roberto_Firmino
Jan Oblak,https://www.transfermarkt.it/jan-oblak/profil/spieler/121483,https://www.instagram.com/oblakjan/,,,https://en.wikipedia.org/wiki/Jan_Oblak
