nome,nome_chiave
Kylian Mbappé,Mbappé
Neymar,Neymar
Leo Messi,Messi
Mohamed Salah,Salah
Harry Kane,Harry Kane
Antoine Griezmann,Griezmann
Kevin De Bruyne,De Bruyne
Philippe Coutinho,Coutinho
Eden Hazard,Hazard
Paulo Dybala,Dybala
Dele Alli,Dele Alli
Romelu Lukaku,Lukaku
Cristiano Ronaldo,Ronaldo
Mauro Icardi,Icardi
Marco Asensio,Asensio
Sergej Milinkovic-Savic,Milinkovic-Savic
Leroy Sané,Sané
Saúl Níguez,Saul Niguez
Raheem Sterling,Sterling
Paul Pogba,Pogba
Isco,Isco
Gareth Bale,Gareth Bale
Gabriel Jesus,Gabriel Jesus
Ousmane Dembélé,Ousmane Dembélé
N'Golo Kanté,Kanté
Raphaël Varane,Varane
Roberto Firmino,Firmino
Jan Oblak,Oblak
James Rodríguez,James Rodriguez
Marc-André ter Stegen,Ter Stegen
Christian Eriksen,Eriksen
Sergio Busquets,Busquets
Robert Lewandowski,Lewandowski
Toni Kroos,Kroos
Sergio Agüero,Aguero
Pierre-Emerick Aubameyang,Aubameyang
Thomas Lemar,Thomas Lemar
Sadio Mané,Sadio Mané
Samuel Umtiti,Umtiti
Marco Verratti,Verratti
Koke,Koke
Jordi Alba,Jordi Alba
David de Gea,De Gea
Marcelo,Marcelo
Luis Suárez,Luis Suarez
Miralem Pjanic,Pjanic
Ivan Rakitic,Rakitic
Casemiro,Casemiro
Naby Keïta,Naby Keita
Marcus Rashford,Rashford
Nabil Fekir,Fekir
Lorenzo Insigne,Insigne
Thibaut Courtois,Courtois
Alexandre Lacazette,Lacazette
Bernardo Silva,Bernardo Silva
Ederson,Ederson
Anthony Martial,Martial
Riyad Mahrez,Mahrez
Timo Werner,Timo Werner
Virgil van Dijk,Van Dijk
Daniel Carvajal,Carvajal
Álvaro Morata,Morata
Alisson,Alisson
Jorginho,Jorginho
Kalidou Koulibaly,Koulibaly
Thiago Alcantara,Thiago Alcantara
Edinson Cavani,Cavani
Diego Costa,Diego Costa
Kai Havertz,Kai Havertz
John Stones,John Stones
Marquinhos,Marquinhos
Joshua Kimmich,Kimmich
Sergi Roberto,Sergi Roberto
Douglas Costa,Douglas Costa
Alexis Sánchez,Alexis Sanchez
Mats Hummels,Hummels
Gonzalo Higuaín,Higuain
Arthur,Arthur
Federico Chiesa,Federico Chiesa
Matthijs de Ligt,De Ligt
Lucas Hernández,Lucas Hernández
José Giménez,Gimenez
Kingsley Coman,Coman
Milan Skriniar,Skriniar
Kepa,Kepa
Fred,Fred
Florian Thauvin,Thauvin
Adrien Rabiot,Rabiot
Aymeric Laporte,Laporte
Niklas Süle,Niklas Süle
Rodrigo Moreno,Rodrigo Moreno
Ciro Immobile,Immobile
Kyle Walker,Kyle Walker
Heung-min Son,Son Heung Min
David Alaba,Alaba
Thomas Müller,Thomas Müller
Willian,Willian
Jadon Sancho,Jadon Sancho
Leon Bailey,Leon Bailey
Richarlison,Richarlison
Malcom,Malcom
Christian Pulisic,Pulisic
Fabinho,Fabinho
Federico Bernardeschi,Bernardeschi
Corentin Tolisso,Tolisso
Julian Brandt,Julian Brandt
Harry Maguire,Maguire
Memphis Depay,Depay
Benjamin Mendy,Benjamin Mendy
Marcos Alonso,Marcos Alonso
Alex Sandro,Alex Sandro
Aaron Ramsey,Ramsey
Ángel Di María,Di Maria
Ivan Perisic,Perisic
Mesut Özil,Özil
Gerard Piqué,Piqué
Rodrigo Hernández,Rodrigo Hernandez
Benjamin Pavard,Pavard
Davinson Sánchez,Davinson Sanchez
Frenkie de Jong,Frenkie de Jong
Lucas Torreira,Lucas Torreira
Hirving Lozano,Lozano
Gianluigi Donnarumma,Donnarumma
Rúben Neves,Neves
Gonçalo Guedes,Guedes
Alessio Romagnoli,Romagnoli
Andreas Christensen,Christensen
Jonathan Tah,Jonathan Tah
Héctor Bellerín,Hector Bellerin
Clément Lenglet,Lenglet
João Cancelo,Cancelo
Piotr Zielinski,Zielinski
Michy Batshuayi,Batshuayi
Eric Dier,Eric Dier
Marcelo Brozovic,Brozovic
Leon Goretzka,Leon Goretzka
Alex Oxlade-Chamberlain,Alex Oxlade-Chamberlain
Jesse Lingard,Jesse Lingard
Allan,Allan
Suso,Suso
Granit Xhaka,Xhaka
Stefan de Vrij,De Vrij
Stefan Savic,Savic
Kostas Manolas,Manolas
Antonio Rüdiger,Rüdiger
Nemanja Matic,Nemanja Matic
César Azpilicueta,Azpilicueta
Ilkay Gündogan,Gündogan
Georginio Wijnaldum,Wijnaldum
Javi Martínez,Javi Martinez
Toby Alderweireld,Alderweireld
Radja Nainggolan,Nainggolan
Marco Reus,Marco Reus
Jérôme Boateng,jerome boateng
Sergio Ramos,Sergio Ramos
Karim Benzema,Benzema
Paulinho,Paulinho
Tanguy Ndombélé,Ndombele
Houssem Aouar,Houssem Aouar
Ryan Sessegnon,Sessegnon
Vinícius Júnior,vinicius junior
Mikel Oyarzabal,Oyarzabal
Trent Alexander-Arnold,Trent Alexander Arnold
Franck Kessié,Kessié
Wilfred Ndidi,Ndidi
Andrew Robertson,Andrew Robertson
Thomas Partey,Thomas Partey
José Gayà,Gaya
Tiemoué Bakayoko,Bakayoko
Andrea Belotti,Belotti
Felipe Anderson,Felipe Anderson
Jordan Pickford,Pickford
Luis Alberto,Luis Alberto
Kieran Trippier,Trippier
Pablo Sarabia,Sarabia
Nacho Fernández,nacho fernandez
Henrikh Mkhitaryan,Mkhitaryan
Nicolás Otamendi,Otamendi
Andrej Kramaric,Kramaric
Leonardo Bonucci,Bonucci
Manuel Akanji,Manuel Akanji
Iñigo Martínez,inigo martinez
Lucas Moura,Lucas Moura
Jan Vertonghen,Vertonghen
Maximiliano Gómez,Maxi Gomez
Carlos Soler,Carlos Soler
Giovani Lo Celso,Lo Celso
Dayot Upamecano,Upamecano
Yerry Mina,Yerry Mina
Eric Bailly,Eric Bailly
Presnel Kimpembe,Kimpembe
Álvaro Odriozola,Odriozola
Ángel Correa,angel correa
Aleksandr Golovin,Golovin
Gelson Martins,Gelson Martins
Nicolò Barella,Barella
Iñaki Williams,inaki williams
Keita Baldé,Keita Baldé
Nélson Semedo,nelson semedo
Thilo Kehrer,Thilo Kehrer
Hakim Ziyech,Hakim Ziyech
André Silva,André Silva
Ante Rebic,Ante Rebic
Jean Michaël Seri,Jean Seri
Serge Gnabry,Gnabry
Wissam Ben Yedder,Ben Yedder
Wilfried Zaha,Wilfried Zaha
Alessandro Florenzi,Florenzi
Geoffrey Kondogbia,Kondogbia
Paco Alcácer,paco alcacer
Willian José,Willian José
Emre Can,Emre Can
Ander Herrera,Ander Herrera
Gylfi Sigurdsson,Sigurdsson
Julian Draxler,Draxler
Victor Wanyama,Wanyama
Steven Nzonzi,Nzonzi
Dries Mertens,Dries Mertens
Diego Godín,godin
Mateo Kovacic,Kovacic
Danny Rose,Danny Rose
Juan Mata,Juan Mata
Marek Hamsik,Hamsik
David Silva,David Silva
Axel Witsel,Witsel
Blaise Matuidi,Matuidi
Hugo Lloris,Hugo Lloris
Manuel Neuer,Neuer
James Maddison,James Maddison
Lorenzo Pellegrini,Lorenzo Pellegrini
Rúben Dias,ruben dias
Joe Gomez,Joe Gomez
Rony Lopes,Rony Lopes
Alassane Plea,Plea
Rafinha,Rafinha Alcantara
Juan Cuadrado,Cuadrado
Oscar Dos Santos,Oscar Dos Santos
Kevin Strootman,Strootman
Jordan Henderson,Jordan Henderson
Cengiz Ünder,Cengiz Ünder
Hakan Calhanoglu,Hakan Calhanoglu
Bruno Fernandes,Bruno Fernandes
Yacine Brahimi,Yacine Brahimi
David Neres,David Neres
Paulinho,Paulinho
Santiago Ascacíbar,Ascacibar
Nikola Milenkovic,Milenkovic
Lautaro Martínez,lautaro martinez
Amine Harit,Amine Harit
Pablo Fornals,Fornals
André Zambo Anguissa,Anguissa
Lucas Tousart,Tousart
Fabián Ruiz,fabian ruiz
Nicolas Pépé,Nicolas Pépé
Moussa Marega,Marega
Giovanni Simeone,Giovanni Simeone
Jean-Kévin Augustin,Jean Augustin
Jefferson Lerma,Lerma
Talisca,Talisca
Alex Telles,Alex Telles
Abdou Diallo,Diallo
Wendell,Wendell
Lucas Vázquez,Lucas Vazquez
Elseid Hysaj,Hysaj
Bryan Cristante,Cristante
Mattia Caldara,Caldara
Julian Weigl,Julian Weigl
Alejandro Grimaldo,Grimaldo
Ben Davies,Ben Davies
Stanislav Lobotka,Lobotka
Victor Lindelöf,Lindelöf
Jean-Philippe Gbamin,Gbamin
Nathan Aké,Nathan Aké
Matteo Politano,Politano
Matías Vecino,Vecino
Ross Barkley,Ross Barkley
Simone Verdi,Simone Verdi
Dennis Praet,Dennis Praet
Faouzi Ghoulam,Ghoulam
Matthias Ginter,Matthias Ginter
Emil Forsberg,Emil Forsberg
Marcel Sabitzer,Marcel Sabitzer
Thorgan Hazard,Thorgan Hazard
Thomas Meunier,Meunier
Shkodran Mustafi,Shkodran Mustafi
Sime Vrsaljko,Vrsaljko
Iago Aspas,Iago Aspas
Vitolo,Vitolo
Pedro Rodriguez,Pedro Rodriguez
Asier Illarramendi,Asier Illarramendi
Aleksandar Mitrovic,Aleksandar Mitrovic
David Luiz,David Luiz
Marko Arnautovic,Arnautovic
Arturo Vidal,Arturo Vidal
Sami Khedira,Khedira
Edin Dzeko,Dzeko
Luka Modric,Modric
Cesc Fàbregas,Fabregas
Danilo Pereira,Danilo Pereira
José Callejón,Callejon
