nome,squadra
Kylian Mbappé,FC Paris Saint-Germain
Neymar,FC Paris Saint-Germain
Lionel Messi,FC Barcellona
Mohamed Salah,FC Liverpool
Harry Kane,Tottenham Hotspur
Antoine Griezmann,Atlético de Madrid
Kevin De Bruyne,Manchester City
Philippe Coutinho,FC Barcellona
Eden Hazard,Chelsea FC
Paulo Dybala,Juventus FC
Dele Alli,Tottenham Hotspur
Romelu Lukaku,Manchester United
Cristiano Ronaldo,Juventus FC
Mauro Icardi,FC Internazionale
Marco Asensio,Real Madrid CF
Sergej Milinkovic-Savic,SS Lazio
Leroy Sané,Manchester City
Saúl Níguez,Atlético de Madrid
Raheem Sterling,Manchester City
Paul Pogba,Manchester United
Isco,Real Madrid CF
Gareth Bale,Real Madrid CF
Gabriel Jesus,Manchester City
Ousmane Dembélé,FC Barcellona
N'Golo Kanté,Chelsea FC
Raphaël Varane,Real Madrid CF
Roberto Firmino,FC Liverpool
Jan Oblak,Atlético de Madrid
James Rodríguez,FC Bayern Monaco
Marc-André ter Stegen,FC Barcellona
Christian Eriksen,Tottenham Hotspur
Sergio Busquets,FC Barcellona
Robert Lewandowski,FC Bayern Monaco
Toni Kroos,Real Madrid CF
Sergio Agüero,Manchester City
Pierre-Emerick Aubameyang,FC Arsenal
Thomas Lemar,Atlético de Madrid
Sadio Mané,FC Liverpool
Samuel Umtiti,FC Barcellona
Marco Verratti,FC Paris Saint-Germain
Koke,Atlético de Madrid
Jordi Alba,FC Barcellona
David de Gea,Manchester United
Marcelo,Real Madrid CF
Luis Suárez,FC Barcellona
Miralem Pjanic,Juventus FC
Ivan Rakitic,FC Barcellona
Casemiro,Real Madrid CF
Naby Keïta,FC Liverpool
Marcus Rashford,Manchester United
Nabil Fekir,Olympique Lione
Lorenzo Insigne,SSC Napoli
Thibaut Courtois,Real Madrid CF
Alexandre Lacazette,FC Arsenal
Bernardo Silva,Manchester City
Ederson,Manchester City
Anthony Martial,Manchester United
Riyad Mahrez,Manchester City
Timo Werner,RasenBallsport Lipsia
Virgil van Dijk,FC Liverpool
Daniel Carvajal,Real Madrid CF
Álvaro Morata,Chelsea FC
Alisson,FC Liverpool
Jorginho,Chelsea FC
Kalidou Koulibaly,SSC Napoli
