nome
Kylian Mbappé
Neymar
Lionel Messi
Mohamed Salah
Harry Kane
Antoine Griezmann
Kevin De Bruyne
Philippe Coutinho
Eden Hazard
Paulo Dybala
Dele Alli
Romelu Lukaku
Cristiano Ronaldo
Mauro Icardi
Marco Asensio
Sergej Milinkovic-Savic
Leroy Sané
Saúl Níguez
Raheem Sterling
Paul Pogba
Isco
Gareth Bale
Gabriel Jesus
Ousmane Dembélé
N'Golo Kanté
Raphaël Varane
Roberto Firmino
Jan Oblak
James Rodríguez
Marc-André ter Stegen
Christian Eriksen
Sergio Busquets
Robert Lewandowski
Toni Kroos
Sergio Agüero
Pierre-Emerick Aubameyang
Thomas Lemar
Sadio Mané
Samuel Umtiti
Marco Verratti
Koke
Jordi Alba
David de Gea
Marcelo
Luis Suárez
Miralem Pjanic
Ivan Rakitic
Casemiro
Naby Keïta
Marcus Rashford
Nabil Fekir
Lorenzo Insigne
Thibaut Courtois
Alexandre Lacazette
Bernardo Silva
Ederson
Anthony Martial
Riyad Mahrez
Timo Werner
Virgil van Dijk
Daniel Carvajal
Álvaro Morata
Alisson
Jorginho
Kalidou Koulibaly
Thiago
Edinson Cavani
Diego Costa
Kai Havertz
John Stones
Marquinhos
Joshua Kimmich
Sergi Roberto
Douglas Costa
Alexis Sánchez
Mats Hummels
Gonzalo Higuaín
Arthur
Federico Chiesa
Matthijs de Ligt
Lucas Hernández
José Giménez
Kingsley Coman
Milan Skriniar
Kepa
Fred
Florian Thauvin
Adrien Rabiot
Aymeric Laporte
Niklas Süle
Rodrigo
Ciro Immobile
Kyle Walker
Heung-min Son
David Alaba
Thomas Müller
Willian
Jadon Sancho
Leon Bailey
Richarlison
Malcom
Christian Pulisic
Fabinho
Federico Bernardeschi
Corentin Tolisso
Julian Brandt
Harry Maguire
Memphis Depay
Benjamin Mendy
Marcos Alonso
Alex Sandro
Aaron Ramsey
Ángel Di María
Ivan Perisic
Mesut Özil
Gerard Piqué
Rodri
Benjamin Pavard
Davinson Sánchez
Frenkie de Jong
Lucas Torreira
Hirving Lozano
Gianluigi Donnarumma
Rúben Neves
Gonçalo Guedes
Alessio Romagnoli
Andreas Christensen
Jonathan Tah
Héctor Bellerín
Clément Lenglet
João Cancelo
Piotr Zielinski
Michy Batshuayi
Eric Dier
Marcelo Brozovic
Leon Goretzka
Alex Oxlade-Chamberlain
Jesse Lingard
Allan
Suso
Granit Xhaka
Stefan de Vrij
Stefan Savic
Konstantinos Manolas
Antonio Rüdiger
Nemanja Matic
César Azpilicueta
Ilkay Gündogan
Georginio Wijnaldum
Javi Martínez
Toby Alderweireld
Radja Nainggolan
Marco Reus
Jérôme Boateng
Sergio Ramos
Karim Benzema
Paulinho
Tanguy Ndombélé
Houssem Aouar
Ryan Sessegnon
Vinícius Júnior
Mikel Oyarzabal
Trent Alexander-Arnold
Franck Kessié
Wilfred Ndidi
Andrew Robertson
Thomas
José Gayà
Tiemoué Bakayoko
Andrea Belotti
Felipe Anderson
Jordan Pickford
Luis Alberto
Kieran Trippier
Pablo Sarabia
Nacho Fernández
Henrikh Mkhitaryan
Nicolás Otamendi
Andrej Kramaric
Leonardo Bonucci
Manuel Akanji
Iñigo Martínez
Lucas Moura
Jan Vertonghen
Maximiliano Gómez
Carlos Soler
Giovani Lo Celso
Dayot Upamecano
Yerry Mina
Eric Bailly
Presnel Kimpembe
Álvaro Odriozola
Ángel Correa
Aleksandr Golovin
Gelson Martins
Nicolò Barella
Iñaki Williams
Keita Baldé
Nélson Semedo
Thilo Kehrer
Hakim Ziyech
André Silva
Ante Rebic
Jean Michaël Seri
Serge Gnabry
Wissam Ben Yedder
Wilfried Zaha
Alessandro Florenzi
Geoffrey Kondogbia
Paco Alcácer
Willian José
Emre Can
Ander Herrera
Gylfi Sigurdsson
Julian Draxler
Victor Wanyama
Stodd Nzonzi
Dries Mertens
Diego Godín
Mateo Kovacic
Danny Rose
Juan Mata
Marek Hamsik
David Silva
Axel Witsel
Blaise Matuidi
Hugo Lloris
Manuel Neuer
James Maddison
Lorenzo Pellegrini
Rúben Dias
Joe Gomez
Rony Lopes
Alassane Plea
Rafinha
Juan Cuadrado
Oscar
Kevin Strootman
Jordan Henderson
Cengiz Ünder
Hakan Calhanoglu
Bruno Fernandes
Yacine Brahimi
David Neres
Paulinho
Santiago Ascacíbar
Nikola Milenkovic
Lautaro Martínez
Amine Harit
Pablo Fornals
André Zambo Anguissa
Lucas Tousart
Fabián Ruiz
Nicolas Pépé
Moussa Marega
Giovanni Simeone
Jean-Kévin Augustin
Jefferson Lerma
Talisca
Alex Telles
Abdou Diallo
Wendell
Lucas Vázquez
Elseid Hysaj
Bryan Cristante
Mattia Caldara
Julian Weigl
Alejandro Grimaldo
Ben Davies
Stanislav Lobotka
Victor Lindelöf
Jean-Philippe Gbamin
Nathan Aké
Matteo Politano
Matías Vecino
Ross Barkley
Simone Verdi
Dennis Praet
Faouzi Ghoulam
Matthias Ginter
Emil Forsberg
Marcel Sabitzer
Thorgan Hazard
Thomas Meunier
Shkodran Mustafi
Sime Vrsaljko
Iago Aspas
Vitolo
Pedro
Asier Illarramendi
Aleksandar Mitrovic
David Luiz
Marko Arnautovic
Arturo Vidal
Sami Khedira
Edin Dzeko
Luka Modric
Cesc Fàbregas
Danilo Pereira
José Callejón
