nome,pres1819,whoscored1819
Kylian Mbappé,8,7.96
Neymar,12,8.41
Leo Messi,13,8.71
Mohamed Salah,16,7.61
Harry Kane,16,7.32
Antoine Griezmann,16,7.24
Kevin De Bruyne,0,5.93
Philippe Coutinho,9,7.17
Eden Hazard,13,7.91
Paulo Dybala,12,7.12
Dele Alli,9,7.08
Romelu Lukaku,12,6.84
Cristiano Ronaldo,16,7.82
Mauro Icardi,11,7.04
Marco Asensio,11,6.76
Sergej Milinkovic-Savic,15,7.02
Leroy Sané,10,7.55
Saúl Níguez,15,7.09
Raheem Sterling,13,7.83
Paul Pogba,13,7.04
Isco,5,6.78
Gareth Bale,13,7.12
Gabriel Jesus,5,6.77
Ousmane Dembélé,10,7.54
N'Golo Kanté,17,6.96
Raphaël Varane,12,6.75
Roberto Firmino,15,7.09
Jan Oblak,16,6.67
James Rodríguez,5,6.9
Marc-André ter Stegen,16,6.61
Christian Eriksen,9,6.85
Sergio Busquets,14,7.08
Robert Lewandowski,14,7.43
Toni Kroos,12,7.13
Sergio Agüero,13,7.69
Pierre-Emerick Aubameyang,15,7.13
Thomas Lemar,11,6.84
Sadio Mané,14,7.33
Samuel Umtiti,6,6.6
Marco Verratti,9,6.95
Koke,12,6.93
Jordi Alba,15,7.1
David de Gea,17,6.55
Marcelo,9,7.06
Luis Suárez,14,7.58
Miralem Pjanic,14,7.2
Ivan Rakitic,14,7
Casemiro,10,7.01
Naby Keïta,7,6.65
Marcus Rashford,9,6.75
Nabil Fekir,9,7.07
Lorenzo Insigne,13,7.39
Thibaut Courtois,14,6.79
Alexandre Lacazette,10,7.12
Bernardo Silva,15,7.23
Ederson,17,6.69
Anthony Martial,9,6.86
Riyad Mahrez,9,6.95
Timo Werner,14,7.18
Virgil van Dijk,17,7.39
Daniel Carvajal,8,7.28
Álvaro Morata,10,6.61
Alisson,17,6.86
Jorginho,16,6.78
Kalidou Koulibaly,16,7.16
Thiago Alcantara,9,7.36
Edinson Cavani,10,7.67
Diego Costa,11,6.55
Kai Havertz,15,7.04
John Stones,10,6.97
Marquinhos,13,7.23
Joshua Kimmich,15,7.37
Sergi Roberto,10,7.01
Douglas Costa,3,6.57
Alexis Sánchez,5,6.77
Mats Hummels,7,7.03
Gonzalo Higuaín,12,6.87
Arthur,7,6.44
Federico Chiesa,15,7.12
Matthijs de Ligt,15,7.33
Lucas Hernández,9,7.01
José Giménez,6,7.06
Kingsley Coman,2,7.07
Milan Skriniar,14,6.97
Kepa,17,6.66
Fred,6,6.67
