nome,nome_chiave,eta,ruolo,ruolo_dettaglio,squadra,nazione_squadra,nazione_giocatore,instagram_followers,facebook_followers,twitter_followers,insta_likes_avg,google_hits,google_hits_1,wiki_visual,insta_hashtag,GER_kicker,GER_bild_G,GER_eurosport_G,ITA_corriere,ITA_sky_G,ITA_gazzetta_G,ENG_thesun,ENG_sky_G,ENG_guardian_G,SPA_marca,SPA_as_G,SPA_mundodep_G,FRA_francefootball_G,FRA_lequipe_G,FRA_eurosport_G,FRA_le10sport_G,INT_eurosport_G,INT_espn_G,INT_bein_G,pres_2018_tot,goal_2018_tot,assist_2018_tot,pres_2018_CL,goal_2018_CL,assist_2018_CL,pres_2017_tot,goal_2017_tot,assist_2017_tot,pres_2017_CL,goal_2017_CL,assist_2017_CL,pres_tot,goal_tot,assist_tot,pres_tot_CL,goal_tot_CL,assist_tot_CL,whoscored1819,valore
Kylian Mbappé,Mbappé,19,Attaccante,Ala destra,FC Paris Saint-Germain,Francia,Francia,24019703,1639467,2252200,1350439,15400000,65300000,6854994,519562,282,1460,771,658,10200,5580,1764,4430,639,571,40100,3130,19500,45800,19400,39000,11100,7200,6280,19,16,10,6,3,4,46,21,15,8,4,3,124,64,42,23,13,7,7.96,180000000
Neymar,Neymar,26,Attaccante,Ala sinistra,FC Paris Saint-Germain,Francia,Brasile,107716768,60699722,41636656,1570715,133000000,184000000,6094579,6752846,1289,8230,11300,2300,9310,11900,3788,4940,3300,7039,73600,93100,23700,57800,11200,36300,21600,22800,17300,19,16,8,6,5,2,30,28,16,7,6,3,369,219,135,53,32,23,8.41,180000000
Leo Messi,Messi,31,Attaccante,Ala destra,FC Barcellona,Spagna,Argentina,103764191,89898268,,3484000,105000000,385000000,11563642,10278373,2595,7740,2450,5413,7010,34300,4404,4450,5860,23322,224000,127000,21900,52100,14000,35900,25100,35700,20700,20,21,13,4,6,1,54,45,18,10,6,2,657,573,229,129,106,28,8.71,180000000
Mohamed Salah,Salah,26,Attaccante,Ala destra,FC Liverpool,Inghilterra,Egitto,21661975,11016135,7457524,1260164,58600000,544000000,6538061,1454287,552,1440,616,2155,13700,4470,2416,28900,1960,457,17900,1500,1080,7120,7010,8030,6930,21100,5140,25,14,6,6,3,0,52,44,16,13,10,5,328,135,77,34,16,6,7.61,150000000
Harry Kane,Kane,25,Attaccante,Punta centrale,Tottenham Hotspur,Inghilterra,Inghilterra,7389999,1660408,2453183,176495.6,64100000,279000000,5013018,156619,313,546,979,231,400,2940,4805,11100,8370,275,8000,64500,799,1510,965,1180,8940,3980,2700,25,15,5,6,4,1,48,41,5,7,7,2,317,182,43,16,13,3,7.32,150000000
Antoine Griezmann,Griezmann,27,Attaccante,Punta centrale,Atlético de Madrid,Spagna,Francia,22858764,7657796,5830632,804463.4,17600000,35100000,3221342,591214,594,1020,1100,826,1510,1190,1597,2560,987,3361,50700,9050,21200,46800,15400,4550,8240,18000,11500,24,11,7,6,4,2,49,29,15,6,2,2,435,175,65,52,21,7,7.24,150000000
Kevin De Bruyne,De Bruyne,27,Centrocampista,Trequartista,Manchester City,Inghilterra,Belgio,7413980,3311435,1634410,326054.4,10700000,13700000,1644090,149646,954,1460,994,341,7900,806,1735,2990,1950,407,3180,978,761,890,523,811,2900,3010,3030,8,2,1,1,0,1,52,12,21,8,1,4,379,84,140,32,5,6,5.93,150000000
Philippe Coutinho,Coutinho,26,Centrocampista,Trequartista,FC Barcellona,Spagna,Brasile,19320944,2349602,1834436,1011744,11500000,42300000,2619788,738139,408,647,511,495,492,1330,2001,2860,1630,907,8040,3430,655,764,6050,2040,4480,2620,4050,22,5,4,6,1,3,42,22,14,5,5,2,327,80,62,25,6,6,7.17,150000000
Eden Hazard,Hazard,27,Attaccante,Ala sinistra,Chelsea FC,Inghilterra,Belgio,17814105,9276779,5803555,392957.2,45400000,301000000,3049334,849346,1072,1670,1270,598,613,2490,3972,63000,6610,886,25500,2170,28000,51800,10100,7530,5180,10200,9480,21,10,9,0,0,0,52,17,13,8,3,4,516,149,137,44,8,13,7.91,150000000
Paulo Dybala,Dybala,25,Attaccante,Seconda punta,Juventus FC,Italia,Argentina,25153030,3449025,1551710,1280171,11600000,31600000,1678324,805472,302,315,490,3621,2380,10300,643,1130,447,425,11300,1710,679,584,1120,11600,4460,1630,5780,20,7,2,5,5,0,46,26,7,8,1,0,266,100,43,31,11,0,7.12,110000000
Dele Alli,Dele Alli,22,Centrocampista,Trequartista,Tottenham Hotspur,Inghilterra,Inghilterra,5924166,621060,760328,210786.8,8510000,13400000,2151683,84845,147,217,159,108,179,394,2435,3260,1200,139,1600,405,217,407,224,203,2040,698,1980,19,6,3,3,0,1,50,14,17,5,2,4,253,76,59,14,3,7,7.08,100000000
Romelu Lukaku,Lukaku,25,Attaccante,Punta centrale,Manchester United,Inghilterra,Belgio,4030109,2824260,1535233,99904.2,6920000,20200000,3158916,281154,428,659,473,907,592,1480,3799,69300,2350,493,5010,1170,499,1250,674,2210,4880,7040,3650,22,6,2,5,0,1,51,27,9,8,5,0,399,185,67,13,5,1,6.84,100000000
Cristiano Ronaldo,Ronaldo,33,Attaccante,Ala sinistra,Juventus FC,Italia,Portogallo,148673079,122537332,75481157,4388354,173000000,405000000,17665708,7511443,4035,7760,4800,4669,15100,77100,6041,5660,5510,15446,68000,108000,20400,47700,21700,22900,41800,19700,21400,22,12,7,5,1,2,44,44,8,13,15,3,780,583,207,158,121,44,7.82,100000000
Mauro Icardi,Icardi,25,Attaccante,Punta centrale,FC Internazionale,Italia,Argentina,4452085,566184,1344271,113106.2,12500000,26000000,1254845,198598,214,124,141,3503,8230,45400,402,1280,524,314,13500,940,397,440,1010,3100,15400,3090,3690,20,13,2,6,4,0,36,29,1,0,0,0,271,159,29,6,4,0,7.04,95000000
Marco Asensio,Asensio,22,Attaccante,Ala sinistra,Real Madrid CF,Spagna,Spagna,10631793,2069304,1236129,496398.4,11600000,20300000,909318,302411,209,299,330,268,331,239,393,699,320,1502,27300,2840,2350,2990,315,1670,2790,1490,4240,25,4,4,5,0,0,53,11,6,12,1,1,209,36,38,25,4,2,6.76,90000000
Sergej Milinkovic-Savic,Milinkovic-Savic,23,Centrocampista,Centrale,SS Lazio,Italia,Serbia,322551,,,47958.9,902000,5180000,684831,9658,68,45,46,790,1220,16300,178,183,120,20,892,232,132,89,99,1710,825,457,574,20,2,1,0,0,0,48,14,9,0,0,0,182,35,23,0,0,0,7.02,90000000
