nome,Instagram,Facebook,Twitter,SOCIAL,Germania,Francia,Italia,Spagna,Inghilterra,Internazionale,MEDIA,GOOGLE,WIKIPEDIA,IPOP
Kylian Mbappé,0.79,0.599,0.662,0.684,0.607,0.964,0.815,0.693,0.751,0.848,0.779,0.604,0.859,0.745
Neymar,0.93,0.935,0.943,0.936,0.807,0.962,0.888,0.904,0.842,0.952,0.893,0.715,0.842,0.884
Leo Messi,0.977,0.971,0.861,0.936,0.782,0.962,0.948,1.0,0.865,0.98,0.923,0.795,0.937,0.916
Mohamed Salah,0.815,0.776,0.777,0.789,0.625,0.755,0.868,0.629,0.867,0.861,0.767,0.832,0.852,0.787
Harry Kane,0.621,0.6,0.67,0.63,0.589,0.621,0.638,0.692,0.912,0.786,0.706,0.76,0.813,0.7
Antoine Griezmann,0.769,0.742,0.754,0.755,0.637,0.96,0.709,0.794,0.744,0.893,0.789,0.537,0.747,0.753
Kevin De Bruyne,0.646,0.664,0.631,0.647,0.663,0.579,0.717,0.54,0.777,0.74,0.669,0.436,0.647,0.64
Philippe Coutinho,0.78,0.632,0.642,0.685,0.583,0.647,0.652,0.643,0.774,0.762,0.677,0.557,0.716,0.672
Eden Hazard,0.74,0.76,0.753,0.751,0.68,0.96,0.688,0.677,0.955,0.849,0.801,0.768,0.739,0.779
Paulo Dybala,0.803,0.668,0.626,0.699,0.548,0.584,0.855,0.612,0.654,0.759,0.669,0.526,0.65,0.662
Dele Alli,0.602,0.509,0.558,0.556,0.471,0.476,0.515,0.449,0.776,0.659,0.558,0.434,0.687,0.558
Romelu Lukaku,0.591,0.649,0.625,0.622,0.583,0.585,0.688,0.571,0.92,0.796,0.69,0.478,0.744,0.657
Cristiano Ronaldo,0.99,1.0,1.0,0.997,0.822,0.97,0.994,0.931,0.883,0.979,0.93,0.8,1.0,0.943
Mauro Icardi,0.59,0.5,0.612,0.567,0.465,0.55,0.944,0.591,0.646,0.809,0.667,0.505,0.607,0.62
Marco Asensio,0.7,0.621,0.604,0.641,0.519,0.649,0.559,0.706,0.607,0.727,0.628,0.478,0.559,0.612
Sergej Milinkovic-Savic,0.363,0.3,0.36,0.341,0.353,0.374,0.783,0.343,0.497,0.563,0.485,0.332,0.517,0.435
Leroy Sané,0.608,0.498,0.602,0.569,0.725,0.6,0.575,0.619,0.829,0.702,0.675,0.413,0.615,0.617
Saúl Níguez,0.405,0.485,0.494,0.461,0.402,0.411,0.342,0.363,0.499,0.544,0.427,0.128,0.37,0.404
Raheem Sterling,0.657,0.627,0.624,0.636,0.578,0.675,0.62,0.547,0.913,0.804,0.689,0.862,0.661,0.688
Paul Pogba,0.824,0.737,0.758,0.773,0.732,0.961,0.915,0.68,0.928,0.889,0.851,0.617,0.749,0.799
Isco,0.754,0.657,0.743,0.718,0.602,0.693,0.722,0.799,0.674,0.853,0.724,0.498,0.551,0.686
Gareth Bale,0.769,0.865,0.86,0.831,0.624,0.889,0.605,0.665,0.783,0.785,0.725,0.526,0.709,0.734
Gabriel Jesus,0.612,0.568,0.559,0.58,0.5,0.494,0.582,0.507,0.704,0.658,0.574,0.752,0.569,0.591
Ousmane Dembélé,0.693,0.65,0.553,0.632,0.63,0.958,0.586,0.785,0.66,0.759,0.73,0.389,0.644,0.664
N'Golo Kanté,0.663,0.548,0.556,0.589,0.586,0.907,0.57,0.525,0.867,0.713,0.695,0.719,0.65,0.664
Raphaël Varane,0.659,0.732,0.743,0.712,0.529,0.682,0.583,0.717,0.597,0.706,0.636,0.556,0.567,0.643
Roberto Firmino,0.675,0.543,0.585,0.601,0.611,0.509,0.559,0.481,0.802,0.68,0.607,0.555,0.627,0.602
Jan Oblak,0.462,0.406,0.441,0.437,0.466,0.484,0.496,0.694,0.558,0.645,0.557,0.413,0.466,0.503
James Rodríguez,0.824,0.877,0.861,0.854,0.645,0.605,0.635,0.688,0.712,0.749,0.672,0.774,0.675,0.731
Marc-André ter Stegen,0.672,0.653,0.611,0.645,0.69,0.522,0.537,0.655,0.575,0.669,0.608,0.394,0.493,0.588
Christian Eriksen,0.493,0.459,0.541,0.498,0.51,0.649,0.656,0.476,0.845,0.724,0.643,0.538,0.507,0.581
Robert Lewandowski,0.688,0.76,0.597,0.682,0.786,0.682,0.66,0.638,0.71,0.752,0.705,0.554,0.63,0.678
