nome,nome_chiave,eta,ruolo,ruolo_dettaglio,squadra,nazione_squadra,nazione_giocatore,instagram_followers,facebook_followers,twitter_followers,insta_likes_avg,google_hits,google_hits_1,wiki_visual,insta_hashtag,GER_kicker,GER_bild_G,GER_eurosport_G,ITA_corriere,ITA_sky_G,ITA_gazzetta_G,ENG_thesun,ENG_sky_G,ENG_guardian_G,SPA_marca,SPA_as_G,SPA_mundodep_G,FRA_francefootball_G,FRA_lequipe_G,FRA_eurosport_G,FRA_le10sport_G,INT_eurosport_G,INT_espn_G,INT_bein_G,pres_2018_tot,goal_2018_tot,assist_2018_tot,pres_2018_CL,goal_2018_CL,assist_2018_CL,pres_2017_tot,goal_2017_tot,assist_2017_tot,pres_2017_CL,goal_2017_CL,assist_2017_CL,pres_tot,goal_tot,assist_tot,pres_tot_CL,goal_tot_CL,assist_tot_CL,whoscored1819,valore,Instagram,Facebook,Twitter,SOCIAL,Germania,Francia,Italia,Spagna,Inghilterra,Internazionale,MEDIA,GOOGLE,WIKIPEDIA,IPOP
Kylian Mbappé,Mbappé,19,Attaccante,Ala destra,FC Paris Saint-Germain,Francia,Francia,24019703.0,1639467.0,2252200.0,1350439.0,15400000,65300000,6854994,519562,282,1460,771,658,10200,5580,1764,4430,639,571,40100,3130,19500,45800,19400,39000,11100,7200,6280,19,16,10,6,3,4,46,21,15,8,4,3,124,64,42,23,13,7,7.96,180000000,0.7899204229570849,0.5989051604839187,0.662099681750186,0.6836417550637299,0.661297093468867,0.963552750266777,0.8146395277487493,0.6732967089234166,0.7514437338055812,0.8477658849439718,0.7853326165262272,0.6039675597474798,0.8592138360546725,0.7478274872864277
Neymar,Neymar,26,Attaccante,Ala sinistra,FC Paris Saint-Germain,Francia,Brasile,107716768.0,60699722.0,41636656.0,1570715.0,133000000,184000000,6094579,6752846,1289,8230,11300,2300,9310,11900,3788,4940,3300,7039,73600,93100,23700,57800,11200,36300,21600,22800,17300,19,16,8,6,5,2,30,28,16,7,6,3,369,219,135,53,32,23,8.41,180000000,0.9302808797355119,0.9346877987112873,0.9427622395447095,0.9359103059971696,0.8785332901754463,0.9615534032077987,0.8881651278485848,0.8977017467793558,0.8422636632693264,0.9520350012977429,0.9033753720963759,0.7153238930002382,0.8417275879574064,0.889548602866128
Leo Messi,Messi,31,Attaccante,Ala destra,FC Barcellona,Spagna,Argentina,103764191.0,89898268.0,,3484000.0,105000000,385000000,11563642,10278373,2595,7740,2450,5413,7010,34300,4404,4450,5860,23322,224000,127000,21900,52100,14000,35900,25100,35700,20700,20,21,13,4,6,1,54,45,18,10,6,2,657,573,229,129,106,28,8.71,180000000,0.9766750427922949,0.9712024447790124,0.8614000870128915,0.9364258581947329,0.8550783388993172,0.9620235367246704,0.947850269293634,1.0,0.864731964985164,0.9803379343226267,0.9350036740375688,0.79468652907703,0.9369781814319108,0.9228149390289592
Mohamed Salah,Salah,26,Attaccante,Ala destra,FC Liverpool,Inghilterra,Egitto,21661975.0,11016135.0,7457524.0,1260164.0,58600000,544000000,6538061,1454287,552,1440,616,2155,13700,4470,2416,28900,1960,457,17900,1500,1080,7120,7010,8030,6930,21100,5140,25,14,6,6,3,0,52,44,16,13,10,5,328,135,77,34,16,6,7.61,150000000,0.8146340602192476,0.7760200652946194,0.777297932191115,0.7893173525683274,0.6827674201045402,0.7546910216468543,0.8678924787734594,0.6085856308612233,0.8665453046941494,0.8612110995414964,0.7736154926036205,0.8318473728708331,0.8521738729901637,0.7903332962897912
Harry Kane,Kane,25,Attaccante,Punta centrale,Tottenham Hotspur,Inghilterra,Inghilterra,7389999.0,1660408.0,2453183.0,176495.6,64100000,279000000,5013018,156619,313,546,979,231,400,2940,4805,11100,8370,275,8000,64500,799,1510,965,1180,8940,3980,2700,25,15,5,6,4,1,48,41,5,7,7,2,317,182,43,16,13,3,7.32,150000000,0.6207206368930233,0.6000852044883481,0.6703239219034482,0.6303765877616065,0.6407571835763476,0.6206378412544741,0.638071439707077,0.6685028474582634,0.9116090786316001,0.7861390929926558,0.7109529139367363,0.7600705049281199,0.8126732755862541,0.7026900934017829
Antoine Griezmann,Griezmann,27,Attaccante,Punta centrale,Atlético de Madrid,Spagna,Francia,22858764.0,7657796.0,5830632.0,804463.4,17600000,35100000,3221342,591214,594,1020,1100,826,1510,1190,1597,2560,987,3361,50700,9050,21200,46800,15400,4550,8240,18000,11500,24,11,7,6,4,2,49,29,15,6,2,2,435,175,65,52,21,7,7.24,150000000,0.769368609256285,0.7422112245779764,0.7536199165593567,0.7550665834645395,0.6941319139906516,0.9598962336131999,0.7092778410051869,0.7833242333912621,0.7443758525572717,0.8930712521200252,0.7973462211129329,0.5372371017461534,0.7469030099591235,0.7575833807978629
Kevin De Bruyne,De Bruyne,27,Centrocampista,Trequartista,Manchester City,Inghilterra,Belgio,7413980.0,3311435.0,1634410.0,326054.4,10700000,13700000,1644090,149646,954,1460,994,341,7900,806,1735,2990,1950,407,3180,978,761,890,523,811,2900,3010,3030,8,2,1,1,0,1,52,12,21,8,1,4,379,84,140,32,5,6,5.93,150000000,0.646328677731595,0.6642669937012938,0.6312510888337891,0.647282253422226,0.7236939266403494,0.5789752721707088,0.7169878753209472,0.5184480731201808,0.7768105933197914,0.74014291437497,0.6758431091578245,0.4361074495334348,0.6468718148090981,0.6436258799596508
Philippe Coutinho,Coutinho,26,Centrocampista,Trequartista,FC Barcellona,Spagna,Brasile,19320944.0,2349602.0,1834436.0,1011744.0,11500000,42300000,2619788,738139,408,647,511,495,492,1330,2001,2860,1630,907,8040,3430,655,764,6050,2040,4480,2620,4050,22,5,4,6,1,3,42,22,14,5,5,2,327,80,62,25,6,6,7.17,150000000,0.780032685887616,0.6323642286104241,0.6423594654595718,0.6849187933192039,0.6359774084287602,0.6474712180229578,0.6523470581279183,0.6261501055814839,0.7744474405867674,0.7621451769539483,0.6830897346169728,0.5572937200953525,0.7161617456514927,0.6751591139460267
Eden Hazard,Hazard,27,Attaccante,Ala sinistra,Chelsea FC,Inghilterra,Belgio,17814105.0,9276779.0,5803555.0,392957.2,45400000,301000000,3049334,849346,1072,1670,1270,598,613,2490,3972,63000,6610,886,25500,2170,28000,51800,10100,7530,5180,10200,9480,21,10,9,0,0,0,52,17,13,8,3,4,516,149,137,44,8,13,7.91,150000000,0.739923586924367,0.7600427632915017,0.7531720667394423,0.7510461389851036,0.7417532780902728,0.9601329450689043,0.6877322991941806,0.6600740381901486,0.954835454696874,0.8486762440252026,0.8088673765442639,0.7682290337982322,0.738741984519379,0.7830285176853186
Paulo Dybala,Dybala,25,Attaccante,Seconda punta,Juventus FC,Italia,Argentina,25153030.0,3449025.0,1551710.0,1280171.0,11600000,31600000,1678324,805472,302,315,490,3621,2380,10300,643,1130,447,425,11300,1710,679,584,1120,11600,4460,1630,5780,20,7,2,5,5,0,46,26,7,8,1,0,266,100,43,31,11,0,7.12,110000000,0.8027096416766498,0.6680519689330447,0.6262552541732133,0.6990056215943027,0.5969184485595901,0.5837240508710181,0.8554980250806411,0.5903662490221656,0.6539127872259042,0.7589369013448751,0.6732260770173656,0.5259456430216314,0.6499367461808245,0.6647505196445053
Dele Alli,Dele Alli,22,Centrocampista,Trequartista,Tottenham Hotspur,Inghilterra,Inghilterra,5924166.0,621060.0,760328.0,210786.8,8510000,13400000,2151683,84845,147,217,159,108,179,394,2435,3260,1200,139,1600,405,217,407,224,203,2040,698,1980,19,6,3,3,0,1,50,14,17,5,2,4,253,76,59,14,3,7,7.08,100000000,0.6015884540101575,0.50865521887805,0.5576199372229617,0.5559545367037231,0.5141224318538941,0.4760999448038206,0.5147085953997191,0.4216377829236586,0.7756046437530513,0.6590406547340887,0.5602023422447054,0.4337274412945536,0.6868871015570157,0.5590629278573611
Romelu Lukaku,Lukaku,25,Attaccante,Punta centrale,Manchester United,Inghilterra,Belgio,4030109.0,2824260.0,1535233.0,99904.2,6920000,20200000,3158916,281154,428,659,473,907,592,1480,3799,69300,2350,493,5010,1170,499,1250,674,2210,4880,7040,3650,22,6,2,5,0,1,51,27,9,8,5,0,399,185,67,13,5,1,6.84,100000000,0.591439519675582,0.6494715214703003,0.6252281351550798,0.6220463921003208,0.6360692860820731,0.584657761994246,0.6876710138339096,0.550369135730472,0.9199095515161936,0.7962973946670789,0.6958290239706622,0.4778454225939401,0.7439926774394305,0.6602683109234824
Cristiano Ronaldo,Ronaldo,33,Attaccante,Ala sinistra,Juventus FC,Italia,Portogallo,148673079.0,122537332.0,75481157.0,4388354.0,173000000,405000000,17665708,7511443,4035,7760,4800,4669,15100,77100,6041,5660,5510,15446,68000,108000,20400,47700,21700,22900,41800,19700,21400,22,12,7,5,1,2,44,44,8,13,15,3,780,583,207,158,121,44,7.82,100000000,0.9903896794977588,1.0,1.0,0.9967965598325863,0.8975945544432907,0.9703795448775309,0.9937639355449283,0.929054446626045,0.882812722474203,0.9788820173589349,0.9420812035541554,0.8001303579963338,1.0,0.9493642962562752
Mauro Icardi,Icardi,25,Attaccante,Punta centrale,FC Internazionale,Italia,Argentina,4452085.0,566184.0,1344271.0,113106.2,12500000,26000000,1254845,198598,214,124,141,3503,8230,45400,402,1280,524,314,13500,940,397,440,1010,3100,15400,3090,3690,20,13,2,6,4,0,36,29,1,0,0,0,271,159,29,6,4,0,7.04,95000000,0.5898832881963826,0.5000543075004381,0.6124480343181079,0.5674618766716429,0.5076274041915639,0.5501090413580304,0.9439043395792431,0.5681874803114156,0.6457557137185496,0.8088657424868212,0.6707416202742706,0.5049780645807095,0.6066911961658066,0.6216822374915517
